"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"sleep apnea syndromes","0.26721","disease or syndrome"
"allergy severity - severe","0.22426","finding"
"ethanol","0.20278","organic chemical - pharmacologic substance"
"sleep disorders","0.20215","disease or syndrome - sign or symptom"
"pharmacologic substance","0.19078","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.18825","finding"
"mental disorders","0.18636","mental or behavioral dysfunction"
"unstable status","0.17309","finding"
"sleep apnea obstructive","0.14719","biologically active substance - disease or syndrome"
"restless legs syndrome","0.14403","disease or syndrome"
"hypersensitivity","0.13708","clinical attribute - finding - pathologic function"
"active brand of pseudoephedrine-triprolidine","0.13140","organic chemical - pharmacologic substance"
"pharmaceutical preparations","0.12634","pharmacologic substance"
"positive finding","0.11813","finding"
"leg","0.11750","body location or region"
"depressed mood","0.11623","finding - mental or behavioral dysfunction"
"sleeplessness","0.11244","finding - sign or symptom"
"substance abuse problem","0.10423","mental or behavioral dysfunction"
"agitation","0.09918","finding - sign or symptom"
"continuous positive airway pressure","0.09665","therapeutic or preventive procedure"
"polysomnography","0.09223","diagnostic procedure"
"shift worker","0.09160","finding"
"narcolepsy","0.08907","disease or syndrome"
"intravenous infusion procedures","0.08844","therapeutic or preventive procedure"
"malignant neoplasms","0.08844","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"chronic obstructive airway disease","0.08591","disease or syndrome"
"hypertensive disease","0.08465","biologically active substance - disease or syndrome - finding"
"body mass index","0.08275","clinical attribute - diagnostic procedure"
"hypnotics","0.07896","pharmacologic substance"
"physical assessment findings","0.07770","finding"
"airway structure","0.07391","body part, organ, or organ component"
"limb structure","0.07265","body part, organ, or organ component"
"hepatic","0.07202","body location or region"
"epilepsy","0.07075","disease or syndrome"
"bipolar disorder","0.06886","mental or behavioral dysfunction"
"antidepressive agents","0.06822","pharmacologic substance"
"psychotic disorders","0.06759","mental or behavioral dysfunction"
"lung diseases obstructive","0.06443","disease or syndrome"
"benzodiazepines","0.06443","organic chemical - pharmacologic substance"
"myocardial infarction","0.06064","disease or syndrome - finding"
"congenital abnormality","0.05938","congenital abnormality - disease or syndrome"
"congestive heart failure","0.05812","congenital abnormality - disease or syndrome"
"contraceptive methods","0.05749","therapeutic or preventive procedure"
"schizophrenia","0.05622","mental or behavioral dysfunction"
"consumption-archaic term for tb","0.05622","disease or syndrome"
"cerebrovascular accident","0.05559","disease or syndrome - therapeutic or preventive procedure"
"anxiety disorders","0.05496","finding - mental or behavioral dysfunction"
"counter brand of terbufos","0.05370","hazardous or poisonous substance"
"movement disorders","0.05370","disease or syndrome"
"nose","0.05180","body part, organ, or organ component - disease or syndrome"
"nervous system disorder","0.05117","disease or syndrome"
"neoplasm metastasis","0.05054","neoplastic process"
"caffeine","0.05054","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"alcohol abuse","0.04991","mental or behavioral dysfunction"
"angina pectoris","0.04991","sign or symptom"
"suicidal","0.04927","finding"
"stimulant","0.04927","pharmacologic substance"
"dementia","0.04927","mental or behavioral dysfunction"
"psychotropic drugs","0.04801","pharmacologic substance"
"operative surgical procedures","0.04738","diagnostic procedure - therapeutic or preventive procedure"
"investigational new drugs","0.04738","pharmacologic substance - therapeutic or preventive procedure"
"drug abuse","0.04675","mental or behavioral dysfunction"
"cardiovascular diseases","0.04611","disease or syndrome"
"antipsychotic agents","0.04611","pharmacologic substance"
"drugs non-prescription","0.04611","pharmacologic substance - therapeutic or preventive procedure"
"heart diseases","0.04611","disease or syndrome"
"narcotics","0.04611","biologically active substance - hazardous or poisonous substance - pharmacologic substance"
"nocturnal myoclonus syndrome","0.04548","disease or syndrome"
"cardiac arrhythmia","0.04485","finding - pathologic function"
"arteries","0.04359","body part, organ, or organ component"
"relate - vinyl resin","0.04359","organic chemical"
"antihistamines","0.04359","organic chemical - pharmacologic substance"
"mass of body structure","0.04359","finding"
"electrocardiogram","0.04232","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"liver diseases","0.04169","disease or syndrome"
"sleep apnea central","0.04169","disease or syndrome"
"moderate adverse event","0.04106","finding"
"anti-anxiety agents","0.04043","pharmacologic substance"
"blood pressure finding","0.03917","finding"
"pressure.airway","0.03853","clinical attribute"
"craniocerebral trauma","0.03727","injury or poisoning"
"kidney diseases","0.03601","disease or syndrome"
"diabetes mellitus","0.03601","disease or syndrome - pharmacologic substance"
"nervousness","0.03474","sign or symptom"
"oxygen","0.03411","pharmacologic substance"
"medical history","0.03411","finding"
"screening for cancer","0.03411","diagnostic procedure"
"melatonin","0.03348","organic chemical - pharmacologic substance"
"neurological observations","0.03348","finding"
"asthma","0.03285","disease or syndrome"
"impaired cognition","0.03159","finding - mental or behavioral dysfunction"
"angina unstable","0.03159","disease or syndrome"
"household composition","0.03095","finding"
"neuromuscular diseases","0.03095","disease or syndrome"
"daytime sleepiness","0.03095","finding"
"chronic disease","0.03095","disease or syndrome"
"smoking","0.03032","hazardous or poisonous substance - individual behavior"
"pregnancy tests","0.03032","diagnostic procedure"
"anticonvulsants","0.02969","pharmacologic substance"
"sedatives","0.02843","pharmacologic substance"
"adrenergic beta-antagonists","0.02780","pharmacologic substance"
