"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"smoke","0.14790","hazardous or poisonous substance - individual behavior"
"cessation of smoking","0.09419","finding - individual behavior"
"contraceptive methods","0.08609","therapeutic or preventive procedure"
"intravenous infusion procedures","0.07947","therapeutic or preventive procedure"
"tobacco","0.06549","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"gravidity","0.06475","finding"
"active brand of pseudoephedrine-triprolidine","0.05519","organic chemical - pharmacologic substance"
"current smoker","0.05519","finding"
"negative finding","0.05004","finding"
"ethanol","0.05004","organic chemical - pharmacologic substance"
"malignant neoplasms","0.04857","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"nicotine dependence","0.04415","mental or behavioral dysfunction"
"physical assessment findings","0.04268","finding"
"carbon monoxide","0.04194","hazardous or poisonous substance - inorganic chemical"
"schizophrenia","0.04121","mental or behavioral dysfunction"
"body mass index","0.04047","clinical attribute - diagnostic procedure"
"pregnancy tests","0.03900","diagnostic procedure"
"follow-up status","0.03900","finding"
"cotinine","0.03385","organic chemical - pharmacologic substance"
"nicotine replacement","0.03164","therapeutic or preventive procedure"
"non-smoker","0.03164","finding"
"pharmacologic substance","0.03091","pharmacologic substance - therapeutic or preventive procedure"
"infantile neuroaxonal dystrophy","0.03017","disease or syndrome"
"multiple endocrine neoplasia","0.02943","antibiotic - neoplastic process - organic chemical"
"respiratory air","0.02796","body substance"
"schizoaffective disorder","0.02649","mental or behavioral dysfunction"
"positive finding","0.02649","finding"
"operative surgical procedures","0.02502","diagnostic procedure - therapeutic or preventive procedure"
"medical history","0.02428","finding"
"marihuana","0.02355","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"chronic obstructive airway disease","0.02281","disease or syndrome"
"depressed mood","0.02281","finding - mental or behavioral dysfunction"
"antipsychotic agents","0.02134","pharmacologic substance"
"pharmaceutical preparations","0.02060","pharmacologic substance"
"replacement therapy","0.02060","therapeutic or preventive procedure"
"pharmacotherapy","0.01987","therapeutic or preventive procedure"
"moderate adverse event","0.01840","finding"
"nicotine transdermal patch","0.01545","clinical drug"
"asthma","0.01545","disease or syndrome"
"unstable status","0.01545","finding"
"mass of body structure","0.01545","finding"
"varenicline","0.01472","organic chemical - pharmacologic substance"
"blood pressure finding","0.01472","finding"
"hypertensive disease","0.01472","biologically active substance - disease or syndrome - finding"
"substance abuse problem","0.01398","mental or behavioral dysfunction"
"consumption-archaic term for tb","0.01325","disease or syndrome"
"mental disorders","0.01325","mental or behavioral dysfunction"
"psychotic disorders","0.01251","mental or behavioral dysfunction"
"alcoholic intoxication chronic","0.01251","mental or behavioral dysfunction"
"electrocardiogram","0.01251","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"angina pectoris","0.01251","sign or symptom"
"screening for cancer","0.01251","diagnostic procedure"
"household composition","0.01177","finding"
"myocardial infarction","0.01177","disease or syndrome - finding"
"illicit drugs","0.01177","hazardous or poisonous substance - pharmacologic substance"
"arteries","0.01177","body part, organ, or organ component"
"blood vessel","0.01104","body part, organ, or organ component - finding"
"unipolar depression","0.01104","mental or behavioral dysfunction"
"breast","0.01104","body part, organ, or organ component"
"hiv","0.01030","disease or syndrome - pharmacologic substance - virus"
"bipolar disorder","0.01030","mental or behavioral dysfunction"
"hypersensitivity","0.01030","clinical attribute - finding - pathologic function"
"anxiety disorders","0.00957","finding - mental or behavioral dysfunction"
"antidepressive agents","0.00957","pharmacologic substance"
"hepatic","0.00883","body location or region"
"observation of attack","0.00883","finding"
"cardiac arrhythmia","0.00809","finding - pathologic function"
"angina unstable","0.00809","disease or syndrome"
"alcohol consumption","0.00809","individual behavior"
"cardiovascular diseases","0.00736","disease or syndrome"
"opiates","0.00736","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"diabetes","0.00736","disease or syndrome"
"heart diseases","0.00736","disease or syndrome"
"congestive heart failure","0.00662","congenital abnormality - disease or syndrome"
"bupropion","0.00662","organic chemical - pharmacologic substance"
"smokeless","0.00662","organic chemical - pharmacologic substance"
"investigational new drugs","0.00662","pharmacologic substance - therapeutic or preventive procedure"
"injury wounds","0.00589","body substance - injury or poisoning"
"gingiva","0.00589","body part, organ, or organ component - pharmacologic substance"
"major depressive disorder","0.00589","mental or behavioral dysfunction"
"lung diseases obstructive","0.00515","disease or syndrome"
"alcohol abuse","0.00515","mental or behavioral dysfunction"
"diastole","0.00515","clinical attribute"
"cerebrovascular accident","0.00515","disease or syndrome - therapeutic or preventive procedure"
"suicidal","0.00442","finding"
"psychotropic drugs","0.00442","pharmacologic substance"
"congenital abnormality","0.00442","congenital abnormality - disease or syndrome"
"cocaine","0.00442","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
"monoamine oxidase inhibitors","0.00368","organic chemical - pharmacologic substance"
"smoking cessation therapy","0.00368","therapeutic or preventive procedure"
"craniocerebral trauma","0.00368","injury or poisoning"
"allergy severity - severe","0.00368","finding"
"kidney diseases","0.00294","disease or syndrome"
"benzodiazepines","0.00294","organic chemical - pharmacologic substance"
"bulimia","0.00294","mental or behavioral dysfunction"
"epilepsy","0.00221","disease or syndrome"
"zyban","0.00221","organic chemical - pharmacologic substance"
"drug abuse","0.00221","mental or behavioral dysfunction"
"liver diseases","0.00147","disease or syndrome"
"panic disorder","0.00074","disease or syndrome - mental or behavioral dysfunction"
"dementia","0.00074","mental or behavioral dysfunction"
"lactation","0.00074","organ or tissue function"
