CDEs, Frequency (0-1 normalized), UMLS Semantic Types
gambling,28,individual behavior,
gambling pathological,18,mental or behavioral dysfunction,
gambler,4,individual behavior,
ethanol,3,organic chemical - pharmacologic substance,
deterioration of status,2,finding,
physical findings,2,finding,
cut of back,2,injury or poisoning,
pharmaceutical preparations,2,pharmacologic substance,
anxiety disorders,2,finding - mental or behavioral dysfunction,
pharmacologic substance,2,pharmacologic substance - therapeutic or preventive procedure,
heart,1,body part organ or organ component - pharmacologic substance,
agitation,1,finding - sign or symptom,
observation of attack,1,finding,
repetitive behaviors,1,finding,
treatment options,1,therapeutic or preventive procedure,
support - dental,1,clinical attribute - organic chemical - pharmacologic substance,
loss of job,1,finding,
legal problems,1,finding,
suicide attempt,1,finding - mental or behavioral dysfunction,
antidepressive agents,1,pharmacologic substance,
naltrexone,1,organic chemical - pharmacologic substance,
prophylactic treatment,1,therapeutic or preventive procedure,
narcotic antagonists,1,pharmacologic substance,
cognitive therapy,1,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
educational status,1,finding - individual behavior,
depressed mood,1,finding - mental or behavioral dysfunction,
behaviorial habits,1,individual behavior,
stress,1,finding - organic chemical - pharmacologic substance,
anxiety depression,1,mental or behavioral dysfunction,
psychiatric assessment,1,diagnostic procedure,
multiple endocrine neoplasia,1,antibiotic - neoplastic process - organic chemical,
treated with,1,therapeutic or preventive procedure,
myocardial infarction,1,disease or syndrome - finding,
