CDEs, Frequency (0-1 normalized), UMLS Semantic Types
cognitive therapy,2,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
esthesia,2,finding - organ or tissue function,
worried,2,finding,
reuptake inhibitors,2,pharmacologic substance,
scanning,1,diagnostic procedure - finding,
escitalopram,1,organic chemical - pharmacologic substance,
deterioration of status,1,finding,
support - dental,1,clinical attribute - organic chemical - pharmacologic substance,
paroxetine,1,organic chemical - pharmacologic substance,
sertraline,1,organic chemical - pharmacologic substance,
celexa,1,organic chemical - pharmacologic substance,
cymbalta,1,organic chemical - pharmacologic substance,
brain,1,body part organ or organ component - disease or syndrome,
tricyclic antidepressive agents,1,pharmacologic substance,
stress management skills,1,individual behavior,
serotonin uptake inhibitors,1,pharmacologic substance,
lexapro,1,organic chemical - pharmacologic substance,
ultrasonography,1,diagnostic procedure,
prozac,1,organic chemical - pharmacologic substance,
emotional stress,1,mental or behavioral dysfunction,
fluvoxamine,1,organic chemical - pharmacologic substance,
distraction training,1,therapeutic or preventive procedure,
source,1,finding,
physical therapy exercises,1,therapeutic or preventive procedure,
reduction - action,1,therapeutic or preventive procedure,
does talk,1,finding,
paxil,1,organic chemical - pharmacologic substance,
emotional well-being,1,clinical attribute - finding,
pristiq,1,organic chemical - pharmacologic substance,
luvox,1,organic chemical - pharmacologic substance,
anxiety disorders,1,finding - mental or behavioral dysfunction,
therapeutic procedure,1,enzyme - finding - therapeutic or preventive procedure,
fluoxetine,1,organic chemical - pharmacologic substance,
pain level,1,finding,
selective serotonin re-uptake inhibitor,1,pharmacologic substance,
norepinephrine,1,organic chemical - pharmacologic substance,
plain x-ray,1,diagnostic procedure,
physical findings,1,finding,
drugs non-prescription,1,pharmacologic substance - therapeutic or preventive procedure,
venlafaxine,1,organic chemical - pharmacologic substance,
pain disorder,1,mental or behavioral dysfunction,
chronic pain syndrome,1,disease or syndrome,
effexor,1,organic chemical - pharmacologic substance,
mental problem,1,finding,
massage therapy,1,therapeutic or preventive procedure,
ixel,1,organic chemical - pharmacologic substance,
zoloft,1,organic chemical - pharmacologic substance,
common cold,1,disease or syndrome - finding,
desvenlafaxine,1,organic chemical - pharmacologic substance,
citalopram,1,organic chemical - pharmacologic substance,
savella,1,organic chemical - pharmacologic substance,
duloxetine,1,organic chemical - pharmacologic substance,
