"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"allergy severity - severe","0.176","finding"
"malignant neoplasms","0.160","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.121","finding"
"pharmacologic substance","0.096","pharmacologic substance - therapeutic or preventive procedure"
"active brand of pseudoephedrine-triprolidine","0.096","organic chemical - pharmacologic substance"
"mental disorders","0.096","mental or behavioral dysfunction"
"physical assessment findings","0.090","finding"
"ethanol","0.079","organic chemical - pharmacologic substance"
"cerebrovascular accident","0.078","disease or syndrome - therapeutic or preventive procedure"
"intravenous infusion procedures","0.074","therapeutic or preventive procedure"
"depressed mood","0.071","finding - mental or behavioral dysfunction"
"substance abuse problem","0.065","mental or behavioral dysfunction"
"psychotic disorders","0.064","mental or behavioral dysfunction"
"dementia","0.063","mental or behavioral dysfunction"
"diabetes mellitus non-insulin-dependent","0.061","disease or syndrome"
"impaired cognition","0.059","finding - mental or behavioral dysfunction"
"hypertensive disease","0.056","biologically active substance - disease or syndrome - finding"
"body mass index","0.055","clinical attribute - diagnostic procedure"
"hearing examination finding","0.052","finding"
"unstable status","0.052","finding"
"moderate adverse event","0.051","finding"
"disability","0.047","finding"
"follow-up status","0.044","finding"
"hypersensitivity","0.044","clinical attribute - finding - pathologic function"
"epilepsy","0.044","disease or syndrome"
"asthma","0.044","disease or syndrome"
"pharmaceutical preparations","0.044","pharmacologic substance"
"multiple endocrine neoplasia","0.042","antibiotic - neoplastic process - organic chemical"
"myocardial infarction","0.040","disease or syndrome - finding"
"arteries","0.040","body part, organ, or organ component"
"positive finding","0.039","finding"
"neoplasm metastasis","0.039","neoplastic process"
"lung","0.039","body part, organ, or organ component - disease or syndrome"
"exercise pain management","0.038","therapeutic or preventive procedure"
"pharmacotherapy","0.036","therapeutic or preventive procedure"
"limb structure","0.036","body part, organ, or organ component"
"insulin","0.036","pharmacologic substance"
"operative surgical procedures","0.034","diagnostic procedure - therapeutic or preventive procedure"
"heart diseases","0.034","disease or syndrome"
"kidney diseases","0.032","disease or syndrome"
"injury wounds","0.032","body substance - injury or poisoning"
"heart failure","0.032","disease or syndrome"
"angina pectoris","0.032","sign or symptom"
"craniocerebral trauma","0.032","injury or poisoning"
"diabetes mellitus insulin-dependent","0.031","disease or syndrome"
"life expectancy","0.031","group attribute"
