CDEs, Frequency (0-1 normalized), UMLS Semantic Types
tobacco,17,hazardous or poisonous substance - organic chemical - pharmacologic substance,
nicotine,11,hazardous or poisonous substance - organic chemical - pharmacologic substance,
smoking,10,hazardous or poisonous substance - individual behavior,
smokeless,5,organic chemical - pharmacologic substance,
pharmaceutical preparations,2,pharmacologic substance,
tars,2,disease or syndrome - organic chemical,
behaviorial habits,2,individual behavior,
smoker,2,finding,
nose,2,body part organ or organ component - disease or syndrome,
weight gain,2,finding - sign or symptom,
moira protein drosophila,1,biologically active substance,
personal failure,1,individual behavior,
agitation,1,finding - sign or symptom,
tobacco and nicotine,1,organic chemical - pharmacologic substance,
lymphoid interstitial pneumonia,1,body part organ or organ component - disease or syndrome,
asleep,1,finding,
heart rate,1,clinical attribute,
cocaine,1,hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance,
gingiva,1,body part organ or organ component - pharmacologic substance,
sweating,1,body substance - finding,
cessation of smoking,1,finding - individual behavior,
perform,1,pharmacologic substance,
bad dreams,1,sign or symptom,
diarrhea,1,finding - sign or symptom,
nicotine withdrawal,1,mental or behavioral dysfunction,
toxin,1,biologically active substance - hazardous or poisonous substance,
therapeutic procedure,1,enzyme - finding - therapeutic or preventive procedure,
headache,1,sign or symptom,
feeling tense,1,mental or behavioral dysfunction - sign or symptom,
tension,1,mental or behavioral dysfunction - sign or symptom,
anxiety disorders,1,finding - mental or behavioral dysfunction,
esthesia,1,finding - organ or tissue function,
drowsiness,1,finding,
oral region,1,body location or region - body part organ or organ component - disease or syndrome,
nightmares,1,mental or behavioral dysfunction,
ethanol,1,organic chemical - pharmacologic substance,
smoking tobacco,1,hazardous or poisonous substance - individual behavior,
does carry,1,finding,
craving,1,individual behavior,
intestines,1,body part organ or organ component,
nausea,1,finding - sign or symptom,
cheek structure,1,body location or region,
morphine,1,organic chemical - pharmacologic substance,
malignant neoplasms,1,biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure,
anxiety depression,1,mental or behavioral dysfunction,
saliva,1,body substance,
tobacco user,1,finding,
smoke,1,hazardous or poisonous substance - individual behavior,
phlegm,1,body substance,
