"aarskog syndrome","PMH0002619"
"aase syndrome","PMH0002627"
"abdomen - swollen","PMH0003609"
"abdominal aortic aneurysm","PMH0001215"
"abdominal bloating","PMH0003610"
"abdominal mass","PMH0003758"
"abdominal pain","PMH0003607"
"abdominal rigidity","PMH0003623"
"abdominal sounds","PMH0003624"
"abo incompatibility","PMH0002283"
"abscess","PMH0002329"
"absent pulmonary valve","PMH0004567"
"acanthosis nigricans","PMH0001855"
"achalasia","PMH0001313"
"achilles tendinitis","PMH0002067"
"achondrogenesis","PMH0002227"
"achondroplasia","PMH0002544"
"acidosis","PMH0002164"
"acne","PMH0001876"
"acoustic neuroma","PMH0001782"
"acoustic trauma","PMH0002056"
"acquired platelet function defect","PMH0001573"
"acrodermatitis","PMH0002417"
"acrodysostosis","PMH0002228"
"acromegaly","PMH0001364"
"actinic keratosis","PMH0001830"
"actinomycosis","PMH0001625"
"acute adrenal crisis","PMH0001397"
"acute arterial occlusion - kidney","PMH0002252"
"acute cerebellar ataxia","PMH0002372"
"acute cholecystitis","PMH0001310"
"acute cytomegalovirus (cmv) infection","PMH0001594"
"acute kidney failure","PMH0001530"
"acute lymphocytic leukemia (all)","PMH0001568"
"acute mountain sickness","PMH0001190"
"acute myeloid leukemia","PMH0001569"
"acute nephritic syndrome","PMH0001525"
"acute pancreatitis","PMH0001332"
"acute respiratory distress syndrome","PMH0001164"
"acute tubular necrosis","PMH0001541"
"acute upper airway obstruction","PMH0001132"
"addison's disease","PMH0001416"
"adenomyosis","PMH0002481"
"adhesion","PMH0002462"
"adjustment disorder","PMH0001928"
"adolescent pregnancy","PMH0002484"
"adrenocortical carcinoma","PMH0002628"
"adrenoleukodystrophy","PMH0002165"
"adult still's disease","PMH0001486"
"agammaglobulinemia","PMH0002284"
"age-related hearing loss","PMH0002040"
"agitation","PMH0003696"
"agranulocytosis","PMH0002272"
"aicardi syndrome","PMH0002629"
"aids","PMH0001620"
"albinism","PMH0002450"
"alcohol withdrawal","PMH0001769"
"alcoholic ketoacidosis","PMH0001365"
"alcoholic liver disease","PMH0001326"
"alcoholic neuropathy","PMH0001733"
"alcoholism and alcohol abuse","PMH0001940"
"alertness - decreased","PMH0003686"
"alkalosis","PMH0002166"
"alkaptonuria","PMH0002180"
"allergic conjunctivitis","PMH0002026"
"allergic rhinitis","PMH0001816"
"allergic vasculitis","PMH0001877"
"allergies","PMH0001815"
"alopecia areata","PMH0002421"
"alpha-1 antitrypsin deficiency","PMH0001178"
"alport syndrome","PMH0001533"
"alström syndrome","PMH0002630"
"alveolar abnormalities","PMH0002084"
"alzheimer's disease","PMH0001767"
"amaurosis fugax","PMH0001788"
"ambiguous genitalia","PMH0003753"
"amblyopia","PMH0002009"
"amebiasis","PMH0001343"
"amebic liver abscess","PMH0001260"
"amelogenesis imperfecta","PMH0002545"
"amenorrhea - primary","PMH0002198"
"amniotic constriction bands","PMH0002546"
"amyotrophic lateral sclerosis","PMH0001708"
"anal fissure","PMH0002116"
"analgesic nephropathy","PMH0001513"
"anaphylaxis","PMH0001847"
"anaplastic thyroid cancer","PMH0001392"
"androgen insensitivity syndrome","PMH0002163"
"anemia","PMH0001586"
"anemia - b12 deficiency","PMH0001600"
"anemia of chronic disease","PMH0001591"
"anencephaly","PMH0002547"
"aneurysm","PMH0002109"
"aneurysm in the brain","PMH0002387"
"angina","PMH0002097"
"angiodysplasia of the colon","PMH0001285"
"angioedema","PMH0001849"
"anisocoria","PMH0003797"
"ankle pain","PMH0003653"
"ankylosing spondylitis","PMH0001457"
"annular pancreas","PMH0002127"
"anomalous left coronary artery from the pulmonary artery","PMH0004576"
"anorchia","PMH0002167"
"anorectal abscess","PMH0002487"
"anorexia nervosa","PMH0001401"
"anterior knee pain","PMH0001488"
"anthrax","PMH0002301"
"antisocial personality disorder","PMH0001919"
"aortic arch syndrome","PMH0002110"
"aortic dissection","PMH0001233"
"aortic insufficiency","PMH0001231"
"aortic stenosis","PMH0001230"
"aortopulmonary window","PMH0004572"
"apert syndrome","PMH0002548"
"aplastic anemia","PMH0001581"
"apnea of prematurity","PMH0004488"
"apoplexy","PMH0001369"
"appendicitis","PMH0001302"
"appetite - decreased","PMH0003608"
"appetite - increased","PMH0003621"
"apraxia","PMH0004944"
"arachnodactyly","PMH0003772"
"armpit lump","PMH0003588"
"arrhenoblastoma of ovary","PMH0002476"
"arrhythmias","PMH0002091"
"arterial embolism","PMH0002092"
"arterial insufficiency","PMH0001739"
"arteriovenous malformation - cerebral","PMH0001783"
"arthritis","PMH0002223"
"asbestosis","PMH0001177"
"ascariasis","PMH0001652"
"ascites","PMH0001331"
"asherman syndrome","PMH0002453"
"asperger syndrome","PMH0002516"
"aspergillosis","PMH0002302"
"aspiration pneumonia","PMH0001179"
"asthma","PMH0001196"
"asthma - children","PMH0001985"
"astigmatism","PMH0002010"
"asymptomatic bacteriuria","PMH0001548"
"asymptomatic hiv infection","PMH0001702"
"ataxia - telangiectasia","PMH0002369"
"atelectasis","PMH0001130"
"atheroembolic renal disease","PMH0001511"
"athlete's foot","PMH0001878"
"atopic dermatitis","PMH0001856"
"atrial fibrillation or flutter","PMH0001236"
"atrial myxoma","PMH0004532"
"atrial septal defect (asd)","PMH0001210"
"attention deficit hyperactivity disorder","PMH0002518"
"atypical pneumonia","PMH0001143"
"aural polyps","PMH0002604"
"autism","PMH0002494"
"autoerythrocyte sensitivity","PMH0002273"
"autoimmune disorders","PMH0001819"
"autoimmune hepatitis","PMH0001291"
"autonomic hyperreflexia","PMH0002404"
"autonomic neuropathy","PMH0001780"
"avian influenza","PMH0004522"
"avoidant personality disorder","PMH0001936"
"axillary nerve dysfunction","PMH0001709"
"babinski reflex","PMH0003778"
"bacterial gastroenteritis","PMH0001300"
"baker’s cyst","PMH0002202"
"balanitis","PMH0001865"
"barbiturate intoxication and overdose","PMH0001947"
"barrett’s esophagus","PMH0002128"
"bartholin’s cyst or abscess","PMH0002459"
"bartter syndrome","PMH0001352"
"basal cell carcinoma","PMH0001827"
"basal cell nevus syndrome","PMH0002423"
"basal ganglia dysfunction","PMH0002064"
"bassen-kornzweig syndrome","PMH0002631"
"becker muscular dystrophy","PMH0001725"
"beckwith-wiedemann syndrome","PMH0002168"
"bed wetting at home","PMH0003631"
"bedwetting","PMH0002523"
"belching","PMH0003571"
"bell's palsy","PMH0001777"
"benign ear cyst or tumor","PMH0002028"
"benign positional vertigo","PMH0002393"
"beriberi","PMH0001379"
"bezoar","PMH0002549"
"bicuspid aortic valve","PMH0004578"
"bilateral hydronephrosis","PMH0001506"
"bile duct obstruction","PMH0001309"
"biliary atresia","PMH0002130"
"biliary stricture","PMH0001267"
"binge eating","PMH0003749"
"bipolar disorder","PMH0001924"
"birthmarks - pigmented","PMH0001831"
"birthmarks - red","PMH0002412"
"blackheads","PMH0003722"
"bladder cancer","PMH0001517"
"bladder outlet obstruction","PMH0002900"
"bladder stones","PMH0002254"
"blastomycosis","PMH0001163"
"bleeding disorders","PMH0002281"
"bleeding esophageal varices","PMH0001314"
"bleeding gums","PMH0003553"
"bleeding into the skin","PMH0003719"
"blepharitis","PMH0002586"
"blind loop syndrome","PMH0002131"
"blindness and vision loss","PMH0003531"
"blocked tear duct","PMH0002011"
"blood clots","PMH0002111"
"blood in the semen","PMH0003649"
"bloody or tarry stools","PMH0003617"
"blount's disease","PMH0002551"
"body lice","PMH0001841"
"boils","PMH0002445"
"bone pain or tenderness","PMH0003666"
"bone tumor","PMH0002210"
"borderline personality disorder","PMH0001931"
"botulism","PMH0001624"
"bowel incontinence","PMH0003622"
"bowlegs","PMH0002552"
"brachial plexopathy","PMH0002391"
"brachial plexus injury in newborns","PMH0002370"
"brain abscess","PMH0001787"
"brain herniation","PMH0002394"
"brain tumor - children","PMH0001773"
"brain tumor - primary - adults","PMH0004485"
"branchial cleft cyst","PMH0002371"
"breast - premenstrual tenderness and swelling","PMH0003640"
"breast cancer","PMH0001911"
"breast infection","PMH0002460"
"breast lump","PMH0003641"
"breast milk jaundice","PMH0001990"
"breast pain","PMH0003639"
"breath holding spell","PMH0001962"
"breath odor","PMH0003549"
"breath sounds","PMH0033669"
"breathing - slowed or stopped","PMH0003560"
"breathing difficulty","PMH0003566"
"breathing difficulty - lying down","PMH0003567"
"brief reactive psychosis","PMH0002496"
"broad nasal bridge","PMH0003548"
"bronchiectasis","PMH0001199"
"bronchiolitis","PMH0001970"
"bronchitis - acute","PMH0002078"
"bronchopulmonary dysplasia","PMH0002079"
"brucellosis","PMH0001623"
"bruxism","PMH0002386"
"bulimia","PMH0001381"
"bullae","PMH0003723"
"bullous pemphigoid","PMH0001886"
"bunions","PMH0002211"
"burkitt lymphoma","PMH0002285"
"bursitis","PMH0001456"
"bursitis of the heel","PMH0002068"
"byssinosis","PMH0002080"
"campylobacter infection","PMH0001271"
"canavan disease","PMH0002553"
"cancer","PMH0002267"
"cancer - penis","PMH0002255"
"cancer - renal pelvis or ureter","PMH0001552"
"cancer - throat or larynx","PMH0002037"
"cancer - vulva","PMH0001904"
"candida infection of the skin","PMH0001883"
"canker sore","PMH0001993"
"caplan syndrome","PMH0001193"
"caput succedaneum","PMH0002554"
"carbuncle","PMH0001828"
"carcinoid syndrome","PMH0001387"
"cardiac amyloidosis","PMH0001244"
"cardiac tamponade","PMH0001245"
"cardiogenic shock","PMH0001237"
"cardiomyopathy","PMH0002095"
"carotid artery disease","PMH0004669"
"carpal tunnel syndrome","PMH0001469"
"cat scratch disease","PMH0002581"
"cataract","PMH0001996"
"catheter-related uti","PMH0001514"
"cavernous sinus thrombosis","PMH0002595"
"celiac disease - sprue","PMH0001280"
"cellulitis","PMH0001858"
"central pontine myelinolysis","PMH0001779"
"central serous choroidopathy","PMH0002579"
"central sleep apnea","PMH0004404"
"cerebral amyloid angiopathy","PMH0001735"
"cerebral hypoxia","PMH0002407"
"cerebral palsy","PMH0001734"
"cervical cancer","PMH0001895"
"cervical dysplasia","PMH0002461"
"cervical polyps","PMH0002463"
"cervical spondylosis","PMH0001472"
"cervicitis","PMH0002464"
"chagas disease","PMH0002348"
"chalazion","PMH0002001"
"chancroid","PMH0001659"
"charcot-marie-tooth disease","PMH0001741"
"charley horse","PMH0002767"
"chediak-higashi syndrome","PMH0002289"
"chemical pneumonitis","PMH0001198"
"chemosis","PMH0003529"
"cherry angioma","PMH0002413"
"chest pain","PMH0003570"
"chickenpox","PMH0002559"
"chiggers","PMH0002309"
"child abuse - physical","PMH0002519"
"child abuse - sexual","PMH0004486"
"child neglect and psychological abuse","PMH0004487"
"childhood disintegrative disorder","PMH0002502"
"chills","PMH0003580"
"chinese restaurant syndrome","PMH0002113"
"chlamydia","PMH0002321"
"chlamydia infections in women","PMH0001681"
"chlamydial urethritis - male","PMH0001680"
"choanal atresia","PMH0002608"
"cholangiocarcinoma","PMH0001336"
"cholangitis","PMH0001335"
"choledocholithiasis","PMH0001319"
"cholera","PMH0001348"
"cholestasis","PMH0001263"
"cholesteatoma","PMH0002045"
"choriocarcinoma","PMH0002465"
"choroidal dystrophies","PMH0001621"
"chronic cholecystitis","PMH0001265"
"chronic fatigue syndrome","PMH0002224"
"chronic granulomatous disease","PMH0002219"
"chronic inflammatory polyneuropathy","PMH0001781"
"chronic kidney disease","PMH0001503"
"chronic lymphocytic leukemia (cll)","PMH0001559"
"chronic motor tic disorder","PMH0001753"
"chronic myelogenous leukemia (cml)","PMH0001596"
"chronic obstructive pulmonary disease","PMH0001153"
"chronic pancreatitis","PMH0001268"
"chronic subdural hematoma","PMH0001785"
"chronic thyroiditis (hashimoto’s disease)","PMH0001409"
"chylomicronemia syndrome","PMH0001442"
"cirrhosis","PMH0001301"
"claw foot","PMH0003654"
"claw hand","PMH0003655"
"cleft lip and palate","PMH0002046"
