"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"mini-mental status exam","0.27914","diagnostic procedure"
"dactinomycin","0.17528","antibiotic - body part, organ, or organ component - disease or syndrome - therapeutic or preventive procedure"
"mild adverse event","0.16682","finding"
"intravenous infusion procedures","0.12218","therapeutic or preventive procedure"
"impaired cognition","0.11748","finding - mental or behavioral dysfunction"
"magnetic resonance imaging","0.10385","diagnostic procedure"
"memory observations","0.09633","finding"
"mild cognitive disorder","0.08506","mental or behavioral dysfunction"
"relate - vinyl resin","0.08365","organic chemical"
"physical assessment findings","0.07707","finding"
"contraceptive methods","0.06767","therapeutic or preventive procedure"
"operative surgical procedures","0.06626","diagnostic procedure - therapeutic or preventive procedure"
"depressed mood","0.06485","finding - mental or behavioral dysfunction"
"cdr1 protein human","0.06203","biologically active substance"
"moderate adverse event","0.06015","finding"
"cholinesterase inhibitors","0.06015","organic chemical - pharmacologic substance"
"multiple endocrine neoplasia","0.06015","antibiotic - neoplastic process - organic chemical"
"communication impairment","0.05310","finding - mental or behavioral dysfunction"
"memantine","0.04981","organic chemical - pharmacologic substance"
"mental disorders","0.04793","mental or behavioral dysfunction"
"mental state examination","0.04699","therapeutic or preventive procedure"
"cognitive therapy","0.04652","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"body mass index","0.04558","clinical attribute - diagnostic procedure"
"negative finding","0.04558","finding"
"medical history","0.04323","finding"
"pharmacologic substance","0.04229","pharmacologic substance - therapeutic or preventive procedure"
"cholinesterases","0.04229","enzyme"
"electrocardiogram","0.03806","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"hearing examination finding","0.03759","finding"
"cerebrovascular accident","0.03759","disease or syndrome - therapeutic or preventive procedure"
"sterility","0.03712","pathologic function"
"neuropsychological tests","0.03712","diagnostic procedure"
"pregnancy tests","0.03712","diagnostic procedure"
"positive finding","0.03665","finding"
"mass of body structure","0.03571","finding"
"blood vessel","0.03524","body part, organ, or organ component - finding"
"ischemia","0.03242","disease or syndrome"
"encephalopathies","0.03195","disease or syndrome - finding"
"alzheimer s disease","0.03195","antibiotic - biologically active substance - body part, organ, or organ component - disease or syndrome - pathologic function - therapeutic or preventive procedure"
"donepezil","0.03055","organic chemical - pharmacologic substance"
"allergy severity - severe","0.03008","finding"
"depression scale","0.02961","diagnostic procedure"
"pulmonary resonance","0.02820","finding"
"responsible person","0.02773","finding"
"huntington disease","0.02679","disease or syndrome - neoplastic process"
"congenital abnormality","0.02632","congenital abnormality - disease or syndrome"
"memory impairment","0.02632","finding - mental or behavioral dysfunction"
