"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"malignant neoplasms","0.344","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"allergy severity - severe","0.203","finding"
"active brand of pseudoephedrine-triprolidine","0.160","organic chemical - pharmacologic substance"
"gravidity","0.159","finding"
"pharmacotherapy","0.131","therapeutic or preventive procedure"
"pharmacologic substance","0.122","pharmacologic substance - therapeutic or preventive procedure"
"hypersensitivity","0.115","clinical attribute - finding - pathologic function"
"neoplasm metastasis","0.112","neoplastic process"
"mental disorders","0.109","mental or behavioral dysfunction"
"physical assessment findings","0.099","finding"
"therapeutic radiology procedure","0.096","body location or region - finding - neoplastic process - therapeutic or preventive procedure"
"intravenous infusion procedures","0.090","therapeutic or preventive procedure"
"kidney","0.086","body part, organ, or organ component"
"hypertensive disease","0.086","biologically active substance - disease or syndrome - finding"
"contraceptive methods","0.083","therapeutic or preventive procedure"
"operative surgical procedures","0.083","diagnostic procedure - therapeutic or preventive procedure"
"unstable status","0.081","finding"
"pharmaceutical preparations","0.079","pharmacologic substance"
"ethanol","0.078","organic chemical - pharmacologic substance"
"life expectancy","0.074","group attribute"
"lung","0.066","body part, organ, or organ component - disease or syndrome"
"positive finding","0.065","finding"
"moderate adverse event","0.063","finding"
"hepatic","0.060","body location or region"
"breast carcinoma","0.060","neoplastic process"
"angina pectoris","0.058","sign or symptom"
"body mass index","0.056","clinical attribute - diagnostic procedure"
"follow-up status","0.056","finding"
"impaired cognition","0.055","finding - mental or behavioral dysfunction"
"dementia","0.055","mental or behavioral dysfunction"
"heart diseases","0.055","disease or syndrome"
"depressed mood","0.053","finding - mental or behavioral dysfunction"
"negative finding","0.051","finding"
"substance abuse problem","0.050","mental or behavioral dysfunction"
"myocardial infarction","0.050","disease or syndrome - finding"
"exercise pain management","0.050","therapeutic or preventive procedure"
"electrocorticogram","0.050","diagnostic procedure"
"chronic obstructive airway disease","0.048","disease or syndrome"
"congestive heart failure","0.048","congenital abnormality - disease or syndrome"
"skeletal bone","0.047","body location or region - body part, organ, or organ component - body substance - disease or syndrome"
"cerebrovascular accident","0.045","disease or syndrome - therapeutic or preventive procedure"
"treatment protocols","0.044","therapeutic or preventive procedure"
"adrenal cortex hormones","0.043","pharmacologic substance"
"pregnancy tests","0.041","diagnostic procedure"
"perceived quality of life","0.041","finding"
"arteries","0.040","body part, organ, or organ component"
"multiple endocrine neoplasia","0.040","antibiotic - neoplastic process - organic chemical"
"blood pressure finding","0.039","finding"
"investigational new drugs","0.039","pharmacologic substance - therapeutic or preventive procedure"
"congenital abnormality","0.038","congenital abnormality - disease or syndrome"
"medical contraindication","0.038","finding"
"liver diseases","0.038","disease or syndrome"
"hiv","0.038","disease or syndrome - pharmacologic substance - virus"
"asthma","0.037","disease or syndrome"
"diabetes","0.036","disease or syndrome"
"psychiatric problem","0.036","mental or behavioral dysfunction"
"intestines","0.035","body part, organ, or organ component"
"malignant neoplasm of skin","0.035","neoplastic process"
"relate - vinyl resin","0.035","organic chemical"
"anaplastic oligodendroglioma","0.034","neoplastic process"
"schizophrenia","0.034","mental or behavioral dysfunction"
"angina unstable","0.034","disease or syndrome"
"psychotic disorders","0.033","mental or behavioral dysfunction"
"cardiac arrhythmia","0.032","finding - pathologic function"
"pharmaceutical adjuvants","0.032","chemical viewed functionally"
"bilirubin","0.032","biologically active substance - laboratory or test result - organic chemical"
"serum","0.032","biologically active substance - body substance - pharmacologic substance"
"prostate carcinoma","0.032","neoplastic process"
"hormone therapy","0.031","therapeutic or preventive procedure"
"ecog performance status","0.030","clinical attribute"
