"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"suicide attempt","0.25989","finding - mental or behavioral dysfunction"
"depressed mood","0.14124","finding - mental or behavioral dysfunction"
"intravenous infusion procedures","0.10734","therapeutic or preventive procedure"
"valproic acid","0.08475","body part, organ, or organ component - organic chemical - pharmacologic substance"
"active brand of pseudoephedrine-triprolidine","0.07910","organic chemical - pharmacologic substance"
"major depressive disorder","0.07345","mental or behavioral dysfunction"
"depressive episode unspecified","0.05650","mental or behavioral dysfunction"
"borderline personality disorder","0.04520","disease or syndrome - mental or behavioral dysfunction"
"mood disorders","0.04520","mental or behavioral dysfunction"
"negative finding","0.04520","finding"
"recurrent disease","0.03955","disease or syndrome"
"mini-mental status exam","0.03955","diagnostic procedure"
"contraceptive methods","0.03955","therapeutic or preventive procedure"
"suicidality","0.03955","clinical attribute"
"pharmacologic substance","0.03955","pharmacologic substance - therapeutic or preventive procedure"
"malignant neoplasms","0.03955","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"positive finding","0.03955","finding"
"suicidal behavior","0.03390","finding"
"moderate adverse event","0.03390","finding"
"post-traumatic stress disorder","0.03390","mental or behavioral dysfunction"
"pharmacotherapy","0.03390","therapeutic or preventive procedure"
"relate - vinyl resin","0.03390","organic chemical"
"allergy severity - severe","0.03390","finding"
"bilirubin","0.03390","biologically active substance - laboratory or test result - organic chemical"
"bipolar disorder","0.03390","mental or behavioral dysfunction"
"personality disorders","0.03390","mental or behavioral dysfunction"
"life expectancy","0.03390","group attribute"
"physical assessment findings","0.03390","finding"
"mental disorders","0.03390","mental or behavioral dysfunction"
"unipolar depression","0.02825","mental or behavioral dysfunction"
"creatinine clearance","0.02825","finding"
"kidney","0.02825","body part, organ, or organ component"
"traumatic brain injury","0.02825","disease or syndrome - injury or poisoning"
"ethanol","0.02825","organic chemical - pharmacologic substance"
"multiple endocrine neoplasia","0.02825","antibiotic - neoplastic process - organic chemical"
"hepatic","0.02825","body location or region"
"antidepressive agents","0.02260","pharmacologic substance"
"anxiety disorders","0.02260","finding - mental or behavioral dysfunction"
"severe combined immunodeficiency","0.02260","diagnostic procedure - disease or syndrome"
"psychiatric care","0.02260","therapeutic or preventive procedure"
"brain injuries","0.01695","injury or poisoning"
"electrocardiogram","0.01695","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"psychotropic drugs","0.01695","pharmacologic substance"
"neoplasm metastasis","0.01695","neoplastic process"
"schizophrenia","0.01695","mental or behavioral dysfunction"
"pregnancy tests","0.01695","diagnostic procedure"
"mild adverse event","0.01695","finding"
"unstable status","0.01130","finding"
"psychotic disorders","0.01130","mental or behavioral dysfunction"
"treatment protocols","0.01130","therapeutic or preventive procedure"
"eating disorders","0.01130","mental or behavioral dysfunction"
"screening for cancer","0.01130","diagnostic procedure"
"liver diseases","0.01130","disease or syndrome"
"selective serotonin re-uptake inhibitor","0.01130","pharmacologic substance"
"body fluid discharge","0.00565","body substance - therapeutic or preventive procedure"
"substance abuse problem","0.00565","mental or behavioral dysfunction"
"dementia","0.00565","mental or behavioral dysfunction"
"alcoholic intoxication chronic","0.00565","mental or behavioral dysfunction"
"disability","0.00565","finding"
"substance dependence","0.00565","mental or behavioral dysfunction"
"antipsychotic agents","0.00565","pharmacologic substance"
"pharmaceutical preparations","0.00565","pharmacologic substance"
"manic","0.00565","finding - mental or behavioral dysfunction"
"graft-vs-host disease","0.00565","disease or syndrome - therapeutic or preventive procedure"
"mental retardation","0.00565","mental or behavioral dysfunction"
"medical contraindication","0.00565","finding"
