"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"attention deficit hyperactivity disorder","0.864","disease or syndrome - mental or behavioral dysfunction"
"intravenous infusion procedures","0.547","therapeutic or preventive procedure"
"psychotic disorders","0.427","mental or behavioral dysfunction"
"pharmacologic substance","0.356","pharmacologic substance - therapeutic or preventive procedure"
"bipolar disorder","0.316","mental or behavioral dysfunction"
"mental disorders","0.287","mental or behavioral dysfunction"
"pervasive development disorder","0.268","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"allergy severity - severe","0.266","finding"
"epilepsy","0.258","disease or syndrome"
"developmental disabilities","0.242","mental or behavioral dysfunction"
"gravidity","0.226","finding"
"anxiety disorders","0.220","finding - mental or behavioral dysfunction"
"hypersensitivity","0.211","clinical attribute - finding - pathologic function"
"substance abuse problem","0.190","mental or behavioral dysfunction"
"autistic disorder","0.187","mental or behavioral dysfunction"
"depressed mood","0.183","finding - mental or behavioral dysfunction"
"hyperactive behavior","0.182","finding"
"mental retardation","0.179","mental or behavioral dysfunction"
"suicidal","0.175","finding"
"ethanol","0.174","organic chemical - pharmacologic substance"
"stimulant","0.172","pharmacologic substance"
"tic disorder","0.164","mental or behavioral dysfunction"
"schizophrenia","0.163","mental or behavioral dysfunction"
"hypertensive disease","0.159","biologically active substance - disease or syndrome - finding"
"psychotropic drugs","0.159","pharmacologic substance"
"contraceptive methods","0.147","therapeutic or preventive procedure"
"electrocardiogram","0.140","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"blood pressure finding","0.136","finding"
"physical assessment findings","0.134","finding"
"pregnancy tests","0.132","diagnostic procedure"
"congenital abnormality","0.131","congenital abnormality - disease or syndrome"
"methylphenidate","0.129","organic chemical - pharmacologic substance"
"unstable status","0.128","finding"
"conduct disorder","0.126","mental or behavioral dysfunction"
"family history","0.123","congenital abnormality - disease or syndrome - enzyme - finding"
"pharmaceutical preparations","0.123","pharmacologic substance"
"positive finding","0.120","finding"
"obsessive-compulsive disorder","0.120","disease or syndrome - mental or behavioral dysfunction"
"negative finding","0.120","finding"
"active brand of pseudoephedrine-triprolidine","0.108","organic chemical - pharmacologic substance"
"fever","0.107","finding"
"mood disorders","0.107","mental or behavioral dysfunction"
"attention deficit disorder","0.104","disease or syndrome - mental or behavioral dysfunction"
"febrile convulsions","0.102","disease or syndrome - pharmacologic substance"
"atomoxetine","0.102","organic chemical - pharmacologic substance"
"disability","0.094","finding"
"post-traumatic stress disorder","0.091","mental or behavioral dysfunction"
"glaucoma","0.089","disease or syndrome - finding"
"diagnosis psychiatric","0.086","mental or behavioral dysfunction"
"screening for cancer","0.086","diagnostic procedure"
"unipolar depression","0.086","mental or behavioral dysfunction"
"nervousness","0.085","sign or symptom"
"neurological observations","0.085","finding"
"supernumerary mandibular right primary canine","0.081","body part, organ, or organ component"
"nicotine","0.081","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"cardiovascular diseases","0.081","disease or syndrome"
"kidney","0.080","body part, organ, or organ component"
"moderate adverse event","0.078","finding"
"stress disorders traumatic","0.077","mental or behavioral dysfunction"
"monoamine oxidase inhibitors","0.073","organic chemical - pharmacologic substance"
"nervous system disorder","0.073","disease or syndrome"
"body mass index","0.073","clinical attribute - diagnostic procedure"
"pharmacotherapy","0.069","therapeutic or preventive procedure"
"oppositional defiant disorder","0.067","mental or behavioral dysfunction"
"major depressive disorder","0.067","mental or behavioral dysfunction"
"brain diseases","0.065","disease or syndrome"
"anticonvulsants","0.065","pharmacologic substance"
"antipsychotic agents","0.065","pharmacologic substance"
"suicidality","0.065","clinical attribute"
"serum","0.064","biologically active substance - body substance - pharmacologic substance"
"congenital heart defects","0.062","congenital abnormality"
"craniocerebral trauma","0.062","injury or poisoning"
"compulsive disorder","0.061","finding"
"hepatic","0.059","body location or region"
"eating disorders","0.059","mental or behavioral dysfunction"
"medical history","0.057","finding"
"amphetamine","0.057","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"antidepressive agents","0.056","pharmacologic substance"
"drug abuse","0.056","mental or behavioral dysfunction"
"heart diseases","0.056","disease or syndrome"
"cardiac arrhythmia","0.056","finding - pathologic function"
"autism spectrum disorders","0.054","congenital abnormality - mental or behavioral dysfunction"
"illicit drugs","0.053","hazardous or poisonous substance - pharmacologic substance"
"mass of body structure","0.053","finding"
"benzodiazepines","0.051","organic chemical - pharmacologic substance"
"gilles de la tourette syndrome","0.049","body part, organ, or organ component - disease or syndrome - finding - mental or behavioral dysfunction - neoplastic process"
"brain injuries","0.049","injury or poisoning"
"suicide attempt","0.049","finding - mental or behavioral dysfunction"
