"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"hypertensive disease","0.339","biologically active substance - disease or syndrome - finding"
"gravidity","0.314","finding"
"hypotension orthostatic","0.305","finding"
"allergy severity - severe","0.288","finding"
"pharmacologic substance","0.254","pharmacologic substance - therapeutic or preventive procedure"
"cardiac arrhythmia","0.212","finding - pathologic function"
"blood pressure finding","0.203","finding"
"hepatic","0.203","body location or region"
"heart diseases","0.186","disease or syndrome"
"ethanol","0.178","organic chemical - pharmacologic substance"
"hypersensitivity","0.178","clinical attribute - finding - pathologic function"
"diabetes mellitus","0.178","disease or syndrome - pharmacologic substance"
"bleomycin-cisplatin protocol","0.178","therapeutic or preventive procedure"
"positive finding","0.169","finding"
"systolic pressure","0.169","clinical attribute - diagnostic procedure"
"pregnancy tests","0.161","diagnostic procedure"
"diastole","0.161","clinical attribute"
"dehydration","0.161","disease or syndrome - finding"
"postural orthostatic tachycardia syndrome","0.153","disease or syndrome"
"mental disorders","0.153","mental or behavioral dysfunction"
"substance abuse problem","0.153","mental or behavioral dysfunction"
"pharmaceutical preparations","0.153","pharmacologic substance"
"orthostatic intolerance","0.144","disease or syndrome - finding"
"heart ventricle","0.144","body part, organ, or organ component"
"congestive heart failure","0.144","congenital abnormality - disease or syndrome"
"autonomic dysfunction","0.144","pathologic function"
"active brand of pseudoephedrine-triprolidine","0.144","organic chemical - pharmacologic substance"
"congenital abnormality","0.136","congenital abnormality - disease or syndrome"
"heart rate","0.136","clinical attribute"
"operative surgical procedures","0.127","diagnostic procedure - therapeutic or preventive procedure"
"myocardial infarction","0.119","disease or syndrome - finding"
"diastolic blood pressure","0.119","clinical attribute - diagnostic procedure - finding"
"moderate adverse event","0.110","finding"
"anatomic valve","0.110","body part, organ, or organ component"
"heart atrium","0.110","body part, organ, or organ component"
"malignant neoplasms","0.110","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"arteriopathic disease","0.110","disease or syndrome"
"fibrillations","0.110","disease or syndrome"
"midodrine","0.102","organic chemical - pharmacologic substance"
"atrial fibrillation","0.102","finding - pathologic function"
"contraceptive methods","0.102","therapeutic or preventive procedure"
"blood vessel","0.102","body part, organ, or organ component - finding"
"physical assessment findings","0.102","finding"
"investigational new drugs","0.102","pharmacologic substance - therapeutic or preventive procedure"
"multiple system atrophy","0.102","disease or syndrome - organic chemical - pharmacologic substance"
"negative finding","0.102","finding"
"lightheadedness","0.093","sign or symptom"
"mercury","0.093","hazardous or poisonous substance"
"coronary artery disease","0.093","diagnostic procedure - disease or syndrome - therapeutic or preventive procedure"
"human chorionic gonadotropin","0.085","disease or syndrome - pharmacologic substance"
"antihypertensive agents","0.085","pathologic function - pharmacologic substance"
"intravenous infusion procedures","0.085","therapeutic or preventive procedure"
"pure autonomic failure","0.085","disease or syndrome"
"falls","0.085","finding - injury or poisoning"
"dizziness","0.085","finding - sign or symptom"
"angle closure glaucoma","0.085","disease or syndrome"
"smoker","0.085","finding"
"stenosis unspecified","0.076","pathologic function"
"mitral valve insufficiency","0.076","diagnostic procedure - disease or syndrome"
"deterioration of status","0.076","finding"
"cerebrovascular accident","0.076","disease or syndrome - therapeutic or preventive procedure"
"breast","0.076","body part, organ, or organ component"
"systemic disease","0.076","disease or syndrome"
"electrocardiogram","0.076","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"regurgitation","0.076","finding - sign or symptom"
"ephedrine","0.076","organic chemical - pharmacologic substance"
"kidney diseases","0.068","disease or syndrome"
"cardiomyopathies","0.068","disease or syndrome"
"sitting position","0.068","finding"
"body mass index","0.068","clinical attribute - diagnostic procedure"
"unstable status","0.068","finding"
"dementia","0.068","mental or behavioral dysfunction"
"neoplasm metastasis","0.068","neoplastic process"
"autonomic neuropathy","0.068","disease or syndrome"
"blood coagulation disorders","0.068","disease or syndrome - organ or tissue function - pathologic function"
"mass of body structure","0.068","finding"
"pulmonary hypertension","0.068","disease or syndrome - finding"
"disability","0.059","finding"
"nervousness","0.059","sign or symptom"
"transient ischemic attack","0.059","disease or syndrome"
"angina pectoris","0.059","sign or symptom"
"household composition","0.059","finding"
"kidney failure","0.059","disease or syndrome - finding"
"bilateral prophylactic mastectomy","0.059","organic chemical - therapeutic or preventive procedure"
"atrophic","0.059","disease or syndrome - pathologic function"
"psychotic disorders","0.059","mental or behavioral dysfunction"
"medical history","0.059","finding"
"adrenergic beta-antagonists","0.059","pharmacologic substance"
"depressed mood","0.059","finding - mental or behavioral dysfunction"
"surgical repair","0.059","therapeutic or preventive procedure"
"observation of attack","0.059","finding"
"aorta","0.059","body part, organ, or organ component"
"neurological observations","0.059","finding"
"sexually active","0.059","finding"
"alcohol consumption","0.059","individual behavior"
"anemia","0.051","disease or syndrome"
"mitral valvuloplasty","0.051","therapeutic or preventive procedure"
"hypertrophy","0.051","disease or syndrome - pathologic function - therapeutic or preventive procedure"
"vasovagal syncope","0.051","disease or syndrome - finding"
"hematological disease","0.051","disease or syndrome"
"progressive disease","0.051","disease or syndrome - finding - neoplastic process"
"cardiovascular diseases","0.051","disease or syndrome"
"prejudice","0.051","individual behavior"
"cardiac conduction","0.051","organ or tissue function"
"medical care","0.051","finding"
"chest","0.051","body location or region - disease or syndrome"
"follow-up status","0.051","finding"
"norepinephrine","0.051","organic chemical - pharmacologic substance"
"tricyclic antidepressive agents","0.051","pharmacologic substance"
"ptosis","0.051","acquired abnormality - disease or syndrome"
"chronic obstructive airway disease","0.051","disease or syndrome"
"tachycardia ventricular","0.051","finding - pathologic function"
"autonomic function","0.051","finding"
"endocarditis","0.051","disease or syndrome"
"mineralocorticoid receptor","0.051","disease or syndrome - receptor"
"implantation procedure","0.051","therapeutic or preventive procedure"
"renal insufficiency","0.051","disease or syndrome"
"asthma","0.051","disease or syndrome"
"peripheral vascular diseases","0.051","disease or syndrome"
"test result","0.051","finding"
"accidents","0.051","injury or poisoning"
"chronic disease","0.051","disease or syndrome"
"angiotensin-converting enzyme inhibitors","0.042","pharmacologic substance"
"carotid stenosis","0.042","disease or syndrome"
"consumption-archaic term for tb","0.042","disease or syndrome"
"coronary heart disease","0.042","diagnostic procedure - disease or syndrome - therapeutic or preventive procedure"
"bradycardia","0.042","pathologic function"
"epilepsy","0.042","disease or syndrome"
"veins","0.042","body part, organ, or organ component"
"nicotine","0.042","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"disease susceptibility","0.042","clinical attribute"
"ventricular arrhythmia","0.042","finding - pathologic function"
"pressors","0.042","pharmacologic substance"
"hypertrophic cardiomyopathy","0.042","disease or syndrome"
"systolic blood pressure measurement","0.042","clinical attribute - diagnostic procedure"
"carotid arteries","0.042","body part, organ, or organ component"
"ulcer","0.042","finding - pathologic function"
"lung diseases obstructive","0.042","disease or syndrome"
"tilt-table test","0.042","diagnostic procedure"
"impaired cognition","0.042","finding - mental or behavioral dysfunction"
"gastrointestinal diseases","0.042","disease or syndrome"
"anticoagulants","0.042","pharmacologic substance"
"smoking","0.042","hazardous or poisonous substance - individual behavior"
"heart block","0.042","disease or syndrome"
"life expectancy","0.042","group attribute"
"atrioventricular block","0.042","disease or syndrome"
"feeling faint","0.042","sign or symptom"
"beta hcg positive","0.042","laboratory or test result"
"asymptomatic","0.034","finding"
"pathology processes","0.034","pathologic function"
"exercise pain management","0.034","therapeutic or preventive procedure"
"hemodynamics","0.034","organ or tissue function"
"caffeine","0.034","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"dihydroergotamine","0.034","organic chemical - pharmacologic substance"
"poor compliance","0.034","finding"
"structure of carotid sinus","0.034","body part, organ, or organ component"
"aspirin","0.034","organic chemical - pharmacologic substance"
"palpitations","0.034","finding"
"fatigue","0.034","sign or symptom"
"neck","0.034","body location or region"
"cord - body parts","0.034","body part, organ, or organ component - disease or syndrome"
"brain","0.034","body part, organ, or organ component - disease or syndrome"
"alcohol abuse","0.034","mental or behavioral dysfunction"
"diabetic","0.034","finding"
"syncopal episode","0.034","sign or symptom"
"ulcerative colitis","0.034","disease or syndrome"
"headache","0.034","sign or symptom"
"angina unstable","0.034","disease or syndrome"
"bleeding tendency","0.034","disease or syndrome - pathologic function"
"multiple endocrine neoplasia","0.034","antibiotic - neoplastic process - organic chemical"
"schizophrenia","0.034","mental or behavioral dysfunction"
"arterial stenosis","0.034","disease or syndrome"
"mixed function oxygenases","0.034","enzyme"
"pheochromocytoma","0.034","disease or syndrome - neoplastic process"
"finding of creatinine level","0.034","laboratory or test result"
"injury wounds","0.034","body substance - injury or poisoning"
"serum creatinine level","0.034","laboratory or test result"
"positive pregnancy test","0.034","laboratory or test result"
"calcification","0.034","finding - organ or tissue function"
"diuretics","0.034","pharmacologic substance"
"cardiac surgery procedures","0.034","therapeutic or preventive procedure"
"spinal cord injuries","0.034","injury or poisoning"
"chiari malformation type ii","0.034","congenital abnormality"
"blurred vision","0.034","sign or symptom"
"presyncope","0.034","sign or symptom"
"droxidopa","0.034","pharmacologic substance"
"intestines","0.034","body part, organ, or organ component"
"acetaminophen","0.034","organic chemical - pharmacologic substance"
"balloon dilatation","0.034","therapeutic or preventive procedure"
"fludrocortisone","0.034","pharmacologic substance"
