"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"post-traumatic stress disorder","0.564","mental or behavioral dysfunction"
"psychotic disorders","0.383","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.319","organic chemical - pharmacologic substance"
"allergy severity - severe","0.298","finding"
"schizophrenia","0.287","mental or behavioral dysfunction"
"ethanol","0.277","organic chemical - pharmacologic substance"
"bipolar disorder","0.255","mental or behavioral dysfunction"
"substance dependence","0.245","mental or behavioral dysfunction"
"intravenous infusion procedures","0.245","therapeutic or preventive procedure"
"gravidity","0.191","finding"
"pharmacologic substance","0.181","pharmacologic substance - therapeutic or preventive procedure"
"unstable status","0.181","finding"
"injury wounds","0.181","body substance - injury or poisoning"
"relate - vinyl resin","0.170","organic chemical"
"brain injuries","0.170","injury or poisoning"
"moderate adverse event","0.160","finding"
"traumatic brain injury","0.160","disease or syndrome - injury or poisoning"
"psychotropic drugs","0.149","pharmacologic substance"
"contraceptive methods","0.128","therapeutic or preventive procedure"
"psychotherapy","0.128","therapeutic or preventive procedure"
"stress disorders traumatic","0.128","mental or behavioral dysfunction"
"depressed mood","0.128","finding - mental or behavioral dysfunction"
"physical assessment findings","0.117","finding"
"kidney","0.117","body part, organ, or organ component"
"consciousness related finding","0.106","finding"
"valproic acid","0.106","body part, organ, or organ component - organic chemical - pharmacologic substance"
"unconscious state","0.106","disease or syndrome - finding"
"substance abuse problem","0.106","mental or behavioral dysfunction"
"schizoaffective disorder","0.106","mental or behavioral dysfunction"
"antidepressive agents","0.106","pharmacologic substance"
"alcoholic intoxication chronic","0.096","mental or behavioral dysfunction"
"cerebrovascular accident","0.096","disease or syndrome - therapeutic or preventive procedure"
"mental disorders","0.096","mental or behavioral dysfunction"
"pregnancy tests","0.096","diagnostic procedure"
"positive finding","0.085","finding"
"instability","0.085","finding"
"craniocerebral trauma","0.085","injury or poisoning"
"exposure therapy","0.074","therapeutic or preventive procedure"
"cognition disorders","0.074","mental or behavioral dysfunction"
"adverse reactions","0.074","antibiotic - biologically active substance - disease or syndrome - finding - organic chemical - pathologic function - pharmacologic substance - receptor"
"antipsychotic agents","0.074","pharmacologic substance"
"hepatic","0.074","body location or region"
"treatment protocols","0.064","therapeutic or preventive procedure"
"crisis","0.064","finding"
"hypertensive disease","0.064","biologically active substance - disease or syndrome - finding"
"epilepsy","0.064","disease or syndrome"
"congestive heart failure","0.064","congenital abnormality - disease or syndrome"
"negative finding","0.064","finding"
"impaired cognition","0.064","finding - mental or behavioral dysfunction"
"pancreatitis","0.053","disease or syndrome - finding"
"angina pectoris","0.053","sign or symptom"
"milroy disease","0.053","congenital abnormality - disease or syndrome"
"magnetic resonance imaging","0.053","diagnostic procedure"
"angina unstable","0.053","disease or syndrome"
"refusal","0.053","organic chemical - pharmacologic substance"
"encounter due to military service","0.053","finding"
"narcolepsy","0.053","disease or syndrome"
"benign paroxysmal positional vertigo","0.053","disease or syndrome"
"anxiety disorders","0.053","finding - mental or behavioral dysfunction"
"hypotension orthostatic","0.053","finding"
"stimulant","0.053","pharmacologic substance"
"adrenergic beta-antagonists","0.053","pharmacologic substance"
"fluoxetine","0.043","organic chemical - pharmacologic substance"
"marriage life event","0.043","finding"
"myocardial infarction","0.043","disease or syndrome - finding"
"illicit drugs","0.043","hazardous or poisonous substance - pharmacologic substance"
"suicidality","0.043","clinical attribute"
"liver failure","0.043","disease or syndrome"
"trazodone","0.043","organic chemical - pharmacologic substance"
"combat exposure","0.043","finding"
"phosphatidylinositols","0.043","biologically active substance"
"rehabilitation therapy","0.043","therapeutic or preventive procedure"
"obsessive-compulsive disorder","0.043","disease or syndrome - mental or behavioral dysfunction"
"anti-anxiety agents","0.043","pharmacologic substance"
"neoplasm metastasis","0.043","neoplastic process"
"positive pregnancy test","0.043","laboratory or test result"
"renal insufficiency","0.043","disease or syndrome"
"claustrophobia","0.043","mental or behavioral dysfunction"
"pharmaceutical preparations","0.043","pharmacologic substance"
"heart diseases","0.043","disease or syndrome"
"unipolar depression","0.043","mental or behavioral dysfunction"
"prazosin","0.043","organic chemical - pharmacologic substance"
"paroxetine","0.043","organic chemical - pharmacologic substance"
"suicide attempt","0.043","finding - mental or behavioral dysfunction"
"homicidal ideation","0.043","finding"
"disability","0.032","finding"
"manic","0.032","finding - mental or behavioral dysfunction"
"operative surgical procedures","0.032","diagnostic procedure - therapeutic or preventive procedure"
"cocaine","0.032","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
"brain concussion","0.032","injury or poisoning"
"benzodiazepines","0.032","organic chemical - pharmacologic substance"
"selective serotonin re-uptake inhibitor","0.032","pharmacologic substance"
"comatose","0.032","congenital abnormality - disease or syndrome"
"diabetes mellitus","0.032","disease or syndrome - pharmacologic substance"
"personality disorders","0.032","mental or behavioral dysfunction"
"phosphatidylethanolamines","0.032","biologically active substance - pharmacologic substance - therapeutic or preventive procedure"
"eye movements","0.032","finding - organ or tissue function"
"lactation","0.032","organ or tissue function"
"memory observations","0.032","finding"
"body fluid discharge","0.032","body substance - therapeutic or preventive procedure"
"hypersensitivity desensitization","0.032","therapeutic or preventive procedure"
"psychotic symptoms","0.032","sign or symptom"
"follow-up status","0.032","finding"
"multiple endocrine neoplasia","0.032","antibiotic - neoplastic process - organic chemical"
"illicit substance","0.032","chemical viewed functionally"
"therapeutic procedure","0.032","enzyme - finding - therapeutic or preventive procedure"
"asleep","0.032","finding"
"suicidal intent","0.032","finding"
"medical history","0.032","finding"
"hallucinogen persisting perception disorder","0.032","mental or behavioral dysfunction"
"investigational new drugs","0.032","pharmacologic substance - therapeutic or preventive procedure"
"upper arm","0.032","body location or region - body part, organ, or organ component - neoplastic process"
"delirium dementia amnestic cognitive disorders","0.032","mental or behavioral dysfunction"
"pregnancy test negative","0.032","finding - laboratory or test result"
"mental health treatment","0.032","therapeutic or preventive procedure"
"target lesion identification","0.032","diagnostic procedure"
"endocrine system diseases","0.032","disease or syndrome - finding"
"nervous system disorder","0.032","disease or syndrome"
"sexually active","0.032","finding"
"supportive care","0.032","therapeutic or preventive procedure"
