CDEs, Frequency (0-1 normalized), UMLS Semantic Types
pharmaceutical preparations,5,pharmacologic substance,
borderline personality disorder,4,disease or syndrome - mental or behavioral dysfunction,
adverse event associated with death,4,finding,
suicidal,3,finding,
pharmacologic substance,3,pharmacologic substance - therapeutic or preventive procedure,
schizophrenia,2,mental or behavioral dysfunction,
feeling hopeless,2,finding,
prophylactic treatment,2,therapeutic or preventive procedure,
as if personality,2,mental or behavioral dysfunction,
male gender,2,finding,
overdose,2,injury or poisoning,
childhood and adolescent relationship problem,1,mental or behavioral dysfunction,
unemployment,1,finding,
illicit drugs,1,hazardous or poisonous substance - pharmacologic substance,
does talk,1,finding,
unipolar depression,1,mental or behavioral dysfunction,
violent,1,mental or behavioral dysfunction,
acyl-coa thioester hydrolase long-chain 1,1,enzyme - therapeutic or preventive procedure,
favor,1,organic chemical - pharmacologic substance,
carney complex type 1,1,disease or syndrome,
crying,1,individual behavior,
feeling relief,1,finding - organic chemical - pharmacologic substance,
suicide prevention,1,therapeutic or preventive procedure,
anxiety disorders,1,finding - mental or behavioral dysfunction,
therapeutic procedure,1,enzyme - finding - therapeutic or preventive procedure,
weakness,1,sign or symptom,
alcohol consumption,1,individual behavior,
eating habit,1,individual behavior,
injury wounds,1,body substance - injury or poisoning,
behaviorial habits,1,individual behavior,
commit lozenge,1,organic chemical - pharmacologic substance,
cardiopulmonary resuscitation,1,therapeutic or preventive procedure,
loneliness,1,finding,
emotional trauma,1,mental or behavioral dysfunction,
multiple endocrine neoplasia,1,antibiotic - neoplastic process - organic chemical,
poisoning,1,injury or poisoning,
