"harvest mite"
"red mite"
"harvest mite infestation","7","['disease or syndrome']"
"exanthema","5","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"bite injury","4","['injury or poisoning', 'organ or tissue function']"
"chigger bite","2","['injury or poisoning']"
"corticosteroids cream","1","['clinical drug']"
"antihistamines","1","['organic chemical', 'pharmacologic substance']"
"leg","1","['body location or region']"
"deet","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"pruritus","1","['sign or symptom']"
"falls","1","['finding', 'injury or poisoning']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"berry preparation","1","['organic chemical', 'pharmacologic substance']"
"urticaria","1","['disease or syndrome', 'sign or symptom']"
