"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"attention deficit hyperactivity disorder","0.80154","disease or syndrome - mental or behavioral dysfunction"
"intravenous infusion procedures","0.50923","therapeutic or preventive procedure"
"hyperactive behavior","0.16308","finding"
"mental disorders","0.12462","mental or behavioral dysfunction"
"negative finding","0.11231","finding"
"pregnancy tests","0.10615","diagnostic procedure"
"attention deficit disorder","0.10154","disease or syndrome - mental or behavioral dysfunction"
"pharmacologic substance","0.09385","pharmacologic substance - therapeutic or preventive procedure"
"contraceptive methods","0.08000","therapeutic or preventive procedure"
"supernumerary mandibular right primary canine","0.07692","body part, organ, or organ component"
"physical assessment findings","0.06462","finding"
"methylphenidate","0.06000","organic chemical - pharmacologic substance"
"stimulant","0.05692","pharmacologic substance"
"electrocardiogram","0.05385","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"serum","0.05231","biologically active substance - body substance - pharmacologic substance"
"mood disorders","0.05077","mental or behavioral dysfunction"
"moderate adverse event","0.04769","finding"
"blood pressure finding","0.04615","finding"
"gravidity","0.04615","finding"
"conduct disorder","0.04154","mental or behavioral dysfunction"
"schizophrenia","0.04154","mental or behavioral dysfunction"
"surgical revision","0.04154","therapeutic or preventive procedure"
"congenital abnormality","0.04154","congenital abnormality - disease or syndrome"
"personal satisfaction","0.03692","finding"
"hoxa10 protein human","0.03692","biologically active substance - body location or region"
"normal intelligence","0.03538","finding"
"medical history","0.03538","finding"
"psychiatric assessment","0.03538","diagnostic procedure"
"gonadotropins","0.03385","pharmacologic substance"
"human chorionic gonadotropin","0.03385","disease or syndrome - pharmacologic substance"
"sexual intercourse - finding","0.03385","finding"
"integumentary scale","0.03231","body part, organ, or organ component"
"anxiety disorders","0.03077","finding - mental or behavioral dysfunction"
"intelligence tests","0.03077","diagnostic procedure"
"depressed mood","0.03077","finding - mental or behavioral dysfunction"
"autistic disorder","0.02769","mental or behavioral dysfunction"
"body mass index","0.02615","clinical attribute - diagnostic procedure"
"relate - vinyl resin","0.02615","organic chemical"
"oppositional defiant disorder","0.02615","mental or behavioral dysfunction"
"operative surgical procedures","0.02462","diagnostic procedure - therapeutic or preventive procedure"
"laboratory results","0.02462","laboratory or test result"
"psychotropic drugs","0.02308","pharmacologic substance"
"nitric oxide synthase","0.02308","enzyme"
"pharmacotherapy","0.02154","therapeutic or preventive procedure"
"atomoxetine","0.02154","organic chemical - pharmacologic substance"
"bipolar disorder","0.02154","mental or behavioral dysfunction"
"allergy severity - severe","0.02154","finding"
"psychostimulant","0.02154","pharmacologic substance"
"mass of body structure","0.02154","finding"
"pervasive development disorder","0.02000","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"ethanol","0.02000","organic chemical - pharmacologic substance"
"mild adverse event","0.02000","finding"
"celiac disease","0.01846","clinical attribute - disease or syndrome - hazardous or poisonous substance - neoplastic process - therapeutic or preventive procedure"
"active brand of pseudoephedrine-triprolidine","0.01692","organic chemical - pharmacologic substance"
"autism spectrum disorders","0.01538","congenital abnormality - mental or behavioral dysfunction"
"disability","0.01538","finding"
"blind vision","0.01538","disease or syndrome"
"pharmaceutical preparations","0.01385","pharmacologic substance"
"tic disorder","0.01385","mental or behavioral dysfunction"
"benzodiazepines","0.01231","organic chemical - pharmacologic substance"
