"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"attention deficit hyperactivity disorder","0.828","disease or syndrome - mental or behavioral dysfunction"
"intravenous infusion procedures","0.535","therapeutic or preventive procedure"
"psychotic disorders","0.428","mental or behavioral dysfunction"
"pharmacologic substance","0.351","pharmacologic substance - therapeutic or preventive procedure"
"bipolar disorder","0.306","mental or behavioral dysfunction"
"mental disorders","0.280","mental or behavioral dysfunction"
"pervasive development disorder","0.268","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"allergy severity - severe","0.263","finding"
"epilepsy","0.252","disease or syndrome"
"developmental disabilities","0.245","mental or behavioral dysfunction"
"gravidity","0.222","finding"
"anxiety disorders","0.214","finding - mental or behavioral dysfunction"
"hypersensitivity","0.208","clinical attribute - finding - pathologic function"
"substance abuse problem","0.185","mental or behavioral dysfunction"
"mental retardation","0.178","mental or behavioral dysfunction"
"autistic disorder","0.177","mental or behavioral dysfunction"
"depressed mood","0.175","finding - mental or behavioral dysfunction"
"hyperactive behavior","0.171","finding"
"stimulant","0.171","pharmacologic substance"
"suicidal","0.169","finding"
"ethanol","0.169","organic chemical - pharmacologic substance"
"schizophrenia","0.168","mental or behavioral dysfunction"
"psychotropic drugs","0.165","pharmacologic substance"
"tic disorder","0.158","mental or behavioral dysfunction"
"hypertensive disease","0.157","biologically active substance - disease or syndrome - finding"
"contraceptive methods","0.145","therapeutic or preventive procedure"
"conduct disorder","0.142","mental or behavioral dysfunction"
"electrocardiogram","0.138","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"blood pressure finding","0.132","finding"
"congenital abnormality","0.131","congenital abnormality - disease or syndrome"
"pregnancy tests","0.128","diagnostic procedure"
"physical assessment findings","0.128","finding"
"methylphenidate","0.126","organic chemical - pharmacologic substance"
"unstable status","0.125","finding"
"family history","0.118","congenital abnormality - disease or syndrome - enzyme - finding"
"pharmaceutical preparations","0.118","pharmacologic substance"
"negative finding","0.118","finding"
"positive finding","0.117","finding"
"obsessive-compulsive disorder","0.115","disease or syndrome - mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.111","organic chemical - pharmacologic substance"
"fever","0.108","finding"
"mood disorders","0.105","mental or behavioral dysfunction"
"attention deficit disorder","0.102","disease or syndrome - mental or behavioral dysfunction"
"febrile convulsions","0.098","disease or syndrome - pharmacologic substance"
"atomoxetine","0.098","organic chemical - pharmacologic substance"
"disability","0.091","finding"
"post-traumatic stress disorder","0.088","mental or behavioral dysfunction"
"glaucoma","0.086","disease or syndrome - finding"
"diagnosis psychiatric","0.083","mental or behavioral dysfunction"
"screening for cancer","0.083","diagnostic procedure"
"nervousness","0.083","sign or symptom"
"neurological observations","0.083","finding"
"unipolar depression","0.082","mental or behavioral dysfunction"
"kidney","0.080","body part, organ, or organ component"
"moderate adverse event","0.078","finding"
"supernumerary mandibular right primary canine","0.078","body part, organ, or organ component"
"nicotine","0.078","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"oppositional defiant disorder","0.078","mental or behavioral dysfunction"
"cardiovascular diseases","0.077","disease or syndrome"
"stress disorders traumatic","0.074","mental or behavioral dysfunction"
"antipsychotic agents","0.074","pharmacologic substance"
"nervous system disorder","0.074","disease or syndrome"
"monoamine oxidase inhibitors","0.071","organic chemical - pharmacologic substance"
"body mass index","0.071","clinical attribute - diagnostic procedure"
"major depressive disorder","0.069","mental or behavioral dysfunction"
"pharmacotherapy","0.066","therapeutic or preventive procedure"
"suicidality","0.066","clinical attribute"
"brain diseases","0.063","disease or syndrome"
"craniocerebral trauma","0.063","injury or poisoning"
"serum","0.063","biologically active substance - body substance - pharmacologic substance"
"anticonvulsants","0.063","pharmacologic substance"
"congenital heart defects","0.060","congenital abnormality"
"compulsive disorder","0.058","finding"
"eating disorders","0.057","mental or behavioral dysfunction"
"hepatic","0.055","body location or region"
"medical history","0.055","finding"
"drug abuse","0.055","mental or behavioral dysfunction"
"amphetamine","0.055","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"heart diseases","0.055","disease or syndrome"
"antidepressive agents","0.054","pharmacologic substance"
"cardiac arrhythmia","0.052","finding - pathologic function"
"brain injuries","0.051","injury or poisoning"
"mass of body structure","0.051","finding"
"mild adverse event","0.051","finding"
"illicit drugs","0.049","hazardous or poisonous substance - pharmacologic substance"
"benzodiazepines","0.049","organic chemical - pharmacologic substance"
"diastole","0.048","clinical attribute"
"gilles de la tourette syndrome","0.048","body part, organ, or organ component - disease or syndrome - finding - mental or behavioral dysfunction - neoplastic process"
"autism spectrum disorders","0.048","congenital abnormality - mental or behavioral dysfunction"
"suicide attempt","0.048","finding - mental or behavioral dysfunction"
"sympathomimetics","0.048","disease or syndrome - pharmacologic substance"
"psychostimulant","0.048","pharmacologic substance"
"surgical revision","0.048","therapeutic or preventive procedure"
"suicide risk","0.045","finding"
"osteochondritis dissecans","0.045","disease or syndrome - mental or behavioral dysfunction"
"substance use disorders","0.045","mental or behavioral dysfunction"
"investigational new drugs","0.045","pharmacologic substance - therapeutic or preventive procedure"
"heart rate","0.043","clinical attribute"
"hoxa10 protein human","0.042","biologically active substance - body location or region"
"thyroid diseases","0.042","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"bony process","0.042","body part, organ, or organ component"
"relate - vinyl resin","0.040","organic chemical"
"schizoaffective disorder","0.040","mental or behavioral dysfunction"
"psychiatric assessment","0.038","diagnostic procedure"
"blind vision","0.038","disease or syndrome"
"integumentary scale","0.038","body part, organ, or organ component"
"injury wounds","0.038","body substance - injury or poisoning"
"sexual intercourse - finding","0.038","finding"
"organic disorders","0.037","disease or syndrome"
"personal satisfaction","0.037","finding"
"amphetamines","0.037","hazardous or poisonous substance - organic chemical - pharmacologic substance"
