CDEs, Frequency (0-1 normalized), UMLS Semantic Types
marihuana,13,mental or behavioral dysfunction - organic chemical - pharmacologic substance,
pharmacologic substance,3,pharmacologic substance - therapeutic or preventive procedure,
marijuana smoking,2,individual behavior,
euphoria adverse event,2,finding,
pharmaceutical preparations,2,pharmacologic substance,
cardiac arrest,2,disease or syndrome - finding,
pulse rate,1,clinical attribute,
illicit drugs,1,hazardous or poisonous substance - pharmacologic substance,
hyperactive behavior,1,finding,
impaired perception,1,mental or behavioral dysfunction,
psychotic disorders,1,mental or behavioral dysfunction,
dry skin,1,finding - pharmacologic substance - sign or symptom,
benzodiazepines,1,organic chemical - pharmacologic substance,
heart rhythm,1,organ or tissue function - pathologic function,
somnolence,1,finding,
mild adverse event,1,finding,
paranoia,1,mental or behavioral dysfunction,
chest,1,body location or region - disease or syndrome,
headache,1,sign or symptom,
seizures,1,finding - sign or symptom,
observation of attack,1,finding,
apnea,1,finding - pathologic function,
loss of pulse,1,finding,
diazepam,1,organic chemical - pharmacologic substance,
lorazepam,1,organic chemical - pharmacologic substance,
other drugs,1,pharmacologic substance,
ativan,1,organic chemical - pharmacologic substance,
oral region,1,body location or region - body part organ or organ component - disease or syndrome,
physical findings,1,finding,
xerostomia,1,sign or symptom,
physical violence,1,mental or behavioral dysfunction,
valium,1,organic chemical - pharmacologic substance,
redness of eye,1,sign or symptom,
brain,1,body part organ or organ component - disease or syndrome,
skills,1,individual behavior,
cardiopulmonary resuscitation,1,therapeutic or preventive procedure,
hallucinogens,1,hazardous or poisonous substance - pharmacologic substance,
myocardial infarction,1,disease or syndrome - finding,
memory observations,1,finding,
acute psychosis,1,mental or behavioral dysfunction,
cannabis intoxication,1,injury or poisoning,
