"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"marihuana","0.730","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"pharmacologic substance","0.413","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.400","finding"
"ethanol","0.365","organic chemical - pharmacologic substance"
"contraceptive methods","0.348","therapeutic or preventive procedure"
"intravenous infusion procedures","0.339","therapeutic or preventive procedure"
"schizophrenia","0.283","mental or behavioral dysfunction"
"mental disorders","0.278","mental or behavioral dysfunction"
"cannabis dependence","0.235","mental or behavioral dysfunction"
"pharmaceutical preparations","0.226","pharmacologic substance"
"positive finding","0.222","finding"
"hypertensive disease","0.222","biologically active substance - disease or syndrome - finding"
"psychotic disorders","0.209","mental or behavioral dysfunction"
"allergy severity - severe","0.200","finding"
"hypersensitivity","0.187","clinical attribute - finding - pathologic function"
"unstable status","0.187","finding"
"substance abuse problem","0.170","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.165","organic chemical - pharmacologic substance"
"depressed mood","0.152","finding - mental or behavioral dysfunction"
"kidney","0.148","body part, organ, or organ component"
"suicidal","0.139","finding"
"heart diseases","0.135","disease or syndrome"
"physical assessment findings","0.130","finding"
"epilepsy","0.126","disease or syndrome"
"psychotropic drugs","0.126","pharmacologic substance"
"bipolar disorder","0.122","mental or behavioral dysfunction"
"cardiovascular diseases","0.117","disease or syndrome"
"illicit drugs","0.109","hazardous or poisonous substance - pharmacologic substance"
"pregnancy tests","0.104","diagnostic procedure"
"antipsychotic agents","0.096","pharmacologic substance"
"cannabinoids","0.091","organic chemical - pharmacologic substance"
"tetrahydrocannabinol","0.087","organic chemical - pharmacologic substance"
"blood pressure finding","0.087","finding"
"craniocerebral trauma","0.087","injury or poisoning"
"drug abuse","0.087","mental or behavioral dysfunction"
"malignant neoplasms","0.083","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"multiple endocrine neoplasia","0.083","antibiotic - neoplastic process - organic chemical"
"smoker","0.083","finding"
"negative finding","0.083","finding"
"congenital abnormality","0.078","congenital abnormality - disease or syndrome"
"moderate adverse event","0.078","finding"
"adverse reactions","0.078","antibiotic - biologically active substance - disease or syndrome - finding - organic chemical - pathologic function - pharmacologic substance - receptor"
"tobacco","0.078","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"cardiac arrhythmia","0.074","finding - pathologic function"
"screening for cancer","0.074","diagnostic procedure"
"cannabis abuse","0.070","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"alcoholic intoxication chronic","0.070","mental or behavioral dysfunction"
"major depressive disorder","0.070","mental or behavioral dysfunction"
"breast","0.070","body part, organ, or organ component"
"heart rate","0.070","clinical attribute"
"angina pectoris","0.065","sign or symptom"
"benzodiazepines","0.065","organic chemical - pharmacologic substance"
"lactation","0.065","organ or tissue function"
"substance use disorders","0.065","mental or behavioral dysfunction"
"medical history","0.065","finding"
"electrocardiogram","0.065","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"contraceptives oral","0.065","pharmacologic substance - therapeutic or preventive procedure"
"injury wounds","0.065","body substance - injury or poisoning"
"psychotic illness","0.061","finding"
"caffeine","0.061","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"unconscious state","0.061","disease or syndrome - finding"
"liver diseases","0.061","disease or syndrome"
"relate - vinyl resin","0.061","organic chemical"
"antidepressive agents","0.061","pharmacologic substance"
"nicotine dependence","0.057","mental or behavioral dysfunction"
"postural orthostatic tachycardia syndrome","0.057","disease or syndrome"
"heart failure","0.057","disease or syndrome"
"bleomycin-cisplatin protocol","0.057","therapeutic or preventive procedure"
"diastole","0.057","clinical attribute"
"chronic obstructive airway disease","0.057","disease or syndrome"
"anxiety disorders","0.057","finding - mental or behavioral dysfunction"
"schizoaffective disorder","0.057","mental or behavioral dysfunction"
"unipolar depression","0.057","mental or behavioral dysfunction"
"myocardial infarction","0.052","disease or syndrome - finding"
"body mass index","0.052","clinical attribute - diagnostic procedure"
"alcohol abuse","0.052","mental or behavioral dysfunction"
"blood vessel","0.052","body part, organ, or organ component - finding"
"dehydration","0.052","disease or syndrome - finding"
"asthma","0.052","disease or syndrome"
"multiple sclerosis","0.052","body part, organ, or organ component - disease or syndrome - finding"
"manic","0.048","finding - mental or behavioral dysfunction"
"homicidal","0.048","mental or behavioral dysfunction"
"systolic pressure","0.048","clinical attribute - diagnostic procedure"
"consciousness related finding","0.048","finding"
"diastolic blood pressure","0.048","clinical attribute - diagnostic procedure - finding"
"attention deficit hyperactivity disorder","0.048","disease or syndrome - mental or behavioral dysfunction"
"drugs non-prescription","0.048","pharmacologic substance - therapeutic or preventive procedure"
"counter brand of terbufos","0.043","hazardous or poisonous substance"
"opioids","0.043","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"pharmacotherapy","0.043","therapeutic or preventive procedure"
"personality disorders","0.043","mental or behavioral dysfunction"
"drug dependence","0.043","mental or behavioral dysfunction"
"hepatic impairment","0.043","disease or syndrome"
"violent","0.043","mental or behavioral dysfunction"
"claustrophobia","0.043","mental or behavioral dysfunction"
"disease of diaphragm","0.043","body part, organ, or organ component - disease or syndrome"
"impaired cognition","0.043","finding - mental or behavioral dysfunction"
