"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"mental disorders","0.19277","mental or behavioral dysfunction"
"psychotic disorders","0.17470","mental or behavioral dysfunction"
"allergy severity - severe","0.16867","finding"
"gravidity","0.16265","finding"
"ethanol","0.15060","organic chemical - pharmacologic substance"
"malignant neoplasms","0.15060","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"suicidal","0.14458","finding"
"pharmacologic substance","0.13253","pharmacologic substance - therapeutic or preventive procedure"
"bipolar disorder","0.13253","mental or behavioral dysfunction"
"hypersensitivity","0.13253","clinical attribute - finding - pathologic function"
"pharmaceutical preparations","0.10843","pharmacologic substance"
"active brand of pseudoephedrine-triprolidine","0.10843","organic chemical - pharmacologic substance"
"substance abuse problem","0.10241","mental or behavioral dysfunction"
"congenital abnormality","0.10241","congenital abnormality - disease or syndrome"
"nervous system disorder","0.10241","disease or syndrome"
"physical assessment findings","0.09639","finding"
"depressed mood","0.09036","finding - mental or behavioral dysfunction"
"urinary tract infection","0.08434","disease or syndrome"
"patella","0.08434","body part, organ, or organ component"
"schizophrenia","0.07831","mental or behavioral dysfunction"
"limb structure","0.07831","body part, organ, or organ component"
"intravenous infusion procedures","0.07831","therapeutic or preventive procedure"
"urinary bladder","0.07831","body part, organ, or organ component"
"positive finding","0.07229","finding"
"psychotherapy","0.07229","therapeutic or preventive procedure"
"knee surgery","0.07229","therapeutic or preventive procedure"
"pelvis","0.07229","body location or region - body part, organ, or organ component"
"epilepsy","0.06627","disease or syndrome"
"pathology processes","0.06627","pathologic function"
"substance dependence","0.06627","mental or behavioral dysfunction"
"vertebral column","0.06627","body part, organ, or organ component"
"brachydactyly type d","0.06024","disease or syndrome"
"lower extremity","0.06024","body location or region"
"contraceptive methods","0.06024","therapeutic or preventive procedure"
"pain disorder","0.06024","mental or behavioral dysfunction"
"complex regional pain syndromes","0.06024","disease or syndrome"
"unstable status","0.06024","finding"
"degenerative polyarthritis","0.05422","congenital abnormality - disease or syndrome - finding"
"anticoagulants","0.05422","pharmacologic substance"
"psychiatric problem","0.05422","mental or behavioral dysfunction"
"urethra","0.05422","body part, organ, or organ component - body substance - disease or syndrome"
"antidepressive agents","0.05422","pharmacologic substance"
"prostate carcinoma","0.04819","neoplastic process"
"breast","0.04819","body part, organ, or organ component"
"instability","0.04819","finding"
"suicidality","0.04819","clinical attribute"
"psychotropic drugs","0.04819","pharmacologic substance"
"st13 protein human","0.04819","biologically active substance - body part, organ, or organ component"
"opioids","0.04819","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"heart","0.04819","body part, organ, or organ component - pharmacologic substance"
"diabetes mellitus","0.04217","disease or syndrome - pharmacologic substance"
"organic disorders","0.04217","disease or syndrome"
"hepatic","0.04217","body location or region"
"dislocations","0.04217","injury or poisoning"
"aspirin","0.04217","organic chemical - pharmacologic substance"
"litigation affecting health status","0.04217","finding"
"stimulation procedure","0.04217","therapeutic or preventive procedure"
"cognitive therapy","0.04217","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"patellar dislocation","0.04217","injury or poisoning"
"disability","0.03614","finding"
"personality disorders","0.03614","mental or behavioral dysfunction"
"body mass index","0.03614","clinical attribute - diagnostic procedure"
"operative surgical procedures","0.03614","diagnostic procedure - therapeutic or preventive procedure"
"injury wounds","0.03614","body substance - injury or poisoning"
"moderate adverse event","0.03614","finding"
"physical therapy","0.03614","body part, organ, or organ component - therapeutic or preventive procedure"
"tendon structure","0.03614","body part, organ, or organ component"
"pregnancy tests","0.03614","diagnostic procedure"
"hypertensive disease","0.03614","biologically active substance - disease or syndrome - finding"
"dementia","0.03614","mental or behavioral dysfunction"
"narcotics","0.03614","biologically active substance - hazardous or poisonous substance - pharmacologic substance"
"cerebrovascular accident","0.03614","disease or syndrome - therapeutic or preventive procedure"
"kidney diseases","0.03012","disease or syndrome"
"ulcer","0.03012","finding - pathologic function"
"osteoporosis","0.03012","disease or syndrome - finding"
"fibromyalgia","0.03012","disease or syndrome"
"cardiovascular diseases","0.03012","disease or syndrome"
"trigger point","0.03012","body location or region"
"ligamentous","0.03012","body location or region"
"lumbar region","0.03012","body location or region"
"eating disorders","0.03012","mental or behavioral dysfunction"
"borderline personality disorder","0.03012","disease or syndrome - mental or behavioral dysfunction"
"anti-inflammatory agents","0.03012","pharmacologic substance"
"blood coagulation disorders","0.03012","disease or syndrome - organ or tissue function - pathologic function"
"tissue damage","0.03012","injury or poisoning"
"investigational new drugs","0.03012","pharmacologic substance - therapeutic or preventive procedure"
"brain injuries","0.03012","injury or poisoning"
"suicide attempt","0.03012","finding - mental or behavioral dysfunction"
"precipitating factors","0.03012","clinical attribute"
"medical contraindication","0.03012","finding"
"analgesics","0.03012","organic chemical - pharmacologic substance"
"joint subluxation","0.02410","injury or poisoning"
"antipsychotic agents","0.02410","pharmacologic substance"
"anxiety disorders","0.02410","finding - mental or behavioral dysfunction"
"benzodiazepines","0.02410","organic chemical - pharmacologic substance"
"chronic pain","0.02410","disease or syndrome"
"cord - body parts","0.02410","body part, organ, or organ component - disease or syndrome"
"mass of body structure","0.02410","finding"
"pharmacotherapy","0.01807","therapeutic or preventive procedure"
"foot","0.01807","body part, organ, or organ component"
"type ii mucolipidosis","0.01807","disease or syndrome"
