"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"ethanol","0.705","organic chemical - pharmacologic substance"
"alcohol consumption","0.286","individual behavior"
"alcoholic intoxication chronic","0.281","mental or behavioral dysfunction"
"intravenous infusion procedures","0.258","therapeutic or preventive procedure"
"pharmacologic substance","0.240","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.207","finding"
"allergy severity - severe","0.194","finding"
"mental disorders","0.184","mental or behavioral dysfunction"
"multiple endocrine neoplasia","0.184","antibiotic - neoplastic process - organic chemical"
"positive finding","0.180","finding"
"psychotic disorders","0.175","mental or behavioral dysfunction"
"bipolar disorder","0.157","mental or behavioral dysfunction"
"contraceptive methods","0.152","therapeutic or preventive procedure"
"physical assessment findings","0.147","finding"
"consumption-archaic term for tb","0.143","disease or syndrome"
"active brand of pseudoephedrine-triprolidine","0.143","organic chemical - pharmacologic substance"
"hypersensitivity","0.138","clinical attribute - finding - pathologic function"
"schizophrenia","0.138","mental or behavioral dysfunction"
"alcohol use disorder","0.134","mental or behavioral dysfunction"
"suicidal","0.124","finding"
"unstable status","0.124","finding"
"impaired cognition","0.120","finding - mental or behavioral dysfunction"
"pharmaceutical preparations","0.115","pharmacologic substance"
"alcohol abuse","0.106","mental or behavioral dysfunction"
"screening for cancer","0.101","diagnostic procedure"
"relate - vinyl resin","0.097","organic chemical"
"epilepsy","0.092","disease or syndrome"
"depressed mood","0.092","finding - mental or behavioral dysfunction"
"psychotropic drugs","0.092","pharmacologic substance"
"benzodiazepines","0.088","organic chemical - pharmacologic substance"
"body mass index","0.088","clinical attribute - diagnostic procedure"
"alcohol withdrawal syndrome","0.088","disease or syndrome"
"withdrawal symptoms","0.088","sign or symptom"
"heavy drinking","0.083","mental or behavioral dysfunction"
"follow-up status","0.078","finding"
"substance dependence","0.074","mental or behavioral dysfunction"
"operative surgical procedures","0.074","diagnostic procedure - therapeutic or preventive procedure"
"pregnancy tests","0.074","diagnostic procedure"
"aspartate transaminase","0.074","enzyme"
"drug dependence","0.074","mental or behavioral dysfunction"
"alanine transaminase","0.074","congenital abnormality - disease or syndrome - enzyme"
"binge eating disorder","0.069","mental or behavioral dysfunction"
"medical history","0.069","finding"
"anxiety disorders","0.069","finding - mental or behavioral dysfunction"
"unipolar depression","0.069","mental or behavioral dysfunction"
"post-traumatic stress disorder","0.069","mental or behavioral dysfunction"
"moderate adverse event","0.065","finding"
"substance abuse problem","0.065","mental or behavioral dysfunction"
"hiv","0.065","disease or syndrome - pharmacologic substance - virus"
"naltrexone","0.065","organic chemical - pharmacologic substance"
"marihuana","0.065","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"mass of body structure","0.065","finding"
"opiates","0.060","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"opioids","0.060","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"detoxification procedure","0.060","therapeutic or preventive procedure"
"negative finding","0.060","finding"
"smoking","0.060","hazardous or poisonous substance - individual behavior"
"injury wounds","0.060","body substance - injury or poisoning"
"nicotine dependence","0.055","mental or behavioral dysfunction"
"liver diseases","0.055","disease or syndrome"
"craniocerebral trauma","0.055","injury or poisoning"
"electrocardiogram","0.055","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"substance use disorders","0.051","mental or behavioral dysfunction"
"suicide attempt","0.051","finding - mental or behavioral dysfunction"
"topiramate","0.046","organic chemical - pharmacologic substance"
"hypertensive disease","0.046","biologically active substance - disease or syndrome - finding"
"personality disorders","0.046","mental or behavioral dysfunction"
"dementia","0.046","mental or behavioral dysfunction"
"antipsychotic agents","0.046","pharmacologic substance"
"contraceptives oral","0.046","pharmacologic substance - therapeutic or preventive procedure"
"kidney","0.046","body part, organ, or organ component"
"alcohol problem","0.041","mental or behavioral dysfunction"
"valproic acid","0.041","body part, organ, or organ component - organic chemical - pharmacologic substance"
"major depressive disorder","0.041","mental or behavioral dysfunction"
"caffeine","0.041","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"antidepressive agents","0.041","pharmacologic substance"
"hepatic","0.041","body location or region"
"disulfiram","0.041","body part, organ, or organ component - hazardous or poisonous substance - organic chemical - pharmacologic substance"
"manic","0.037","finding - mental or behavioral dysfunction"
"serum","0.037","biologically active substance - body substance - pharmacologic substance"
"acamprosate","0.037","organic chemical - pharmacologic substance"
"eating disorders","0.037","mental or behavioral dysfunction"
"borderline personality disorder","0.037","disease or syndrome - mental or behavioral dysfunction"
"investigational new drugs","0.037","pharmacologic substance - therapeutic or preventive procedure"
"smoker","0.037","finding"
"congenital abnormality","0.037","congenital abnormality - disease or syndrome"
"anticonvulsants","0.037","pharmacologic substance"
"current drinker","0.032","individual behavior"
"cocaine","0.032","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
"violence","0.032","mental or behavioral dysfunction"
"renal impairment","0.032","disease or syndrome - finding"
"adverse reactions","0.032","antibiotic - biologically active substance - disease or syndrome - finding - organic chemical - pathologic function - pharmacologic substance - receptor"
"panic disorder","0.032","disease or syndrome - mental or behavioral dysfunction"
"binge drinking","0.032","individual behavior"
"drug abuse","0.032","mental or behavioral dysfunction"
"schizoaffective disorder","0.032","mental or behavioral dysfunction"
"infantile neuroaxonal dystrophy","0.032","disease or syndrome"
"obsessive-compulsive disorder","0.032","disease or syndrome - mental or behavioral dysfunction"
"sexually active","0.032","finding"
