"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"psychotic disorders","0.29775","mental or behavioral dysfunction"
"ethanol","0.26687","organic chemical - pharmacologic substance"
"bipolar disorder","0.25547","mental or behavioral dysfunction"
"pharmacologic substance","0.24228","pharmacologic substance - therapeutic or preventive procedure"
"depressed mood","0.22879","finding - mental or behavioral dysfunction"
"suicidal","0.21919","finding"
"substance abuse problem","0.21649","mental or behavioral dysfunction"
"gravidity","0.20360","finding"
"schizophrenia","0.20330","mental or behavioral dysfunction"
"allergy severity - severe","0.18561","finding"
"intravenous infusion procedures","0.18501","therapeutic or preventive procedure"
"unstable status","0.18501","finding"
"antidepressive agents","0.18111","pharmacologic substance"
"mental disorders","0.15622","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.14873","organic chemical - pharmacologic substance"
"pharmaceutical preparations","0.12564","pharmacologic substance"
"hypersensitivity","0.11874","clinical attribute - finding - pathologic function"
"dementia","0.10495","mental or behavioral dysfunction"
"contraceptive methods","0.10225","therapeutic or preventive procedure"
"psychotherapy","0.09685","therapeutic or preventive procedure"
"major depressive disorder","0.09325","mental or behavioral dysfunction"
"psychotropic drugs","0.08666","pharmacologic substance"
"hepatic","0.08396","body location or region"
"malignant neoplasms","0.08276","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"personality disorders","0.08246","mental or behavioral dysfunction"
"anxiety disorders","0.08186","finding - mental or behavioral dysfunction"
"schizoaffective disorder","0.08096","mental or behavioral dysfunction"
"positive finding","0.08096","finding"
"suicide attempt","0.08036","finding - mental or behavioral dysfunction"
"antipsychotic agents","0.08006","pharmacologic substance"
"physical assessment findings","0.08006","finding"
"mental retardation","0.07556","mental or behavioral dysfunction"
"substance dependence","0.07436","mental or behavioral dysfunction"
"hypertensive disease","0.07136","biologically active substance - disease or syndrome - finding"
"nervous system disorder","0.06867","disease or syndrome"
"obsessive-compulsive disorder","0.06777","disease or syndrome - mental or behavioral dysfunction"
"nicotine","0.06747","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"electroconvulsive therapy","0.06657","disease or syndrome - therapeutic or preventive procedure"
"benign rolandic epilepsy","0.06027","disease or syndrome - therapeutic or preventive procedure"
"craniocerebral trauma","0.05997","injury or poisoning"
"caffeine","0.05907","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"depressive episode unspecified","0.05727","mental or behavioral dysfunction"
"manic","0.05667","finding - mental or behavioral dysfunction"
"fluoxetine","0.05637","organic chemical - pharmacologic substance"
"post-traumatic stress disorder","0.05427","mental or behavioral dysfunction"
"breast","0.05367","body part, organ, or organ component"
"benzodiazepines","0.05367","organic chemical - pharmacologic substance"
"cerebrovascular accident","0.05367","disease or syndrome - therapeutic or preventive procedure"
"impaired cognition","0.05307","finding - mental or behavioral dysfunction"
"monoamine oxidase inhibitors","0.05097","organic chemical - pharmacologic substance"
"eating disorders","0.05067","mental or behavioral dysfunction"
"unipolar depression","0.04948","mental or behavioral dysfunction"
"injury wounds","0.04858","body substance - injury or poisoning"
"alcoholic intoxication chronic","0.04828","mental or behavioral dysfunction"
"congenital abnormality","0.04828","congenital abnormality - disease or syndrome"
"alcohol abuse","0.04708","mental or behavioral dysfunction"
"infantile neuroaxonal dystrophy","0.04648","disease or syndrome"
"heart diseases","0.04348","disease or syndrome"
"electrocardiogram","0.04288","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"stress disorders traumatic","0.04258","mental or behavioral dysfunction"
"antisocial behavior","0.04258","mental or behavioral dysfunction"
"psychotic symptoms","0.04228","sign or symptom"
"screening for cancer","0.04198","diagnostic procedure"
"thyroid gland","0.04078","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"mood disorders","0.04078","mental or behavioral dysfunction"
"magnetic resonance imaging","0.03898","diagnostic procedure"
"hypothyroidism","0.03868","disease or syndrome"
"stabilizer - function","0.03688","organ or tissue function"
"compulsive disorder","0.03688","finding"
"panic disorder","0.03598","disease or syndrome - mental or behavioral dysfunction"
"medical contraindication","0.03508","finding"
"suicide risk","0.03478","finding"
"investigational new drugs","0.03478","pharmacologic substance - therapeutic or preventive procedure"
"pregnancy tests","0.03448","diagnostic procedure"
"suicidality","0.03388","clinical attribute"
"diabetes","0.03388","disease or syndrome"
"delirium","0.03358","mental or behavioral dysfunction"
"neoplasm metastasis","0.03298","neoplastic process"
"multiple sclerosis","0.03298","body part, organ, or organ component - disease or syndrome - finding"
