"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"anxiety disorders","0.641","finding - mental or behavioral dysfunction"
"phobia social","0.634","mental or behavioral dysfunction"
"intravenous infusion procedures","0.536","therapeutic or preventive procedure"
"phobic anxiety disorder","0.523","mental or behavioral dysfunction"
"bipolar disorder","0.405","mental or behavioral dysfunction"
"social anxiety","0.379","mental or behavioral dysfunction"
"psychotic disorders","0.359","mental or behavioral dysfunction"
"schizophrenia","0.320","mental or behavioral dysfunction"
"suicidal","0.307","finding"
"substance abuse problem","0.301","mental or behavioral dysfunction"
"ethanol","0.294","organic chemical - pharmacologic substance"
"depressed mood","0.294","finding - mental or behavioral dysfunction"
"generalized anxiety disorder","0.268","mental or behavioral dysfunction"
"psychotropic drugs","0.255","pharmacologic substance"
"mental disorders","0.248","mental or behavioral dysfunction"
"psychotherapy","0.248","therapeutic or preventive procedure"
"contraceptive methods","0.229","therapeutic or preventive procedure"
"pharmacologic substance","0.209","pharmacologic substance - therapeutic or preventive procedure"
"anxiety generalized","0.196","mental or behavioral dysfunction"
"gravidity","0.190","finding"
"mental retardation","0.176","mental or behavioral dysfunction"
"unstable status","0.176","finding"
"obsessive-compulsive disorder","0.176","disease or syndrome - mental or behavioral dysfunction"
"antidepressive agents","0.170","pharmacologic substance"
"phobia specific","0.163","mental or behavioral dysfunction"
"seasonal affective disorder","0.157","finding - mental or behavioral dysfunction"
"post-traumatic stress disorder","0.157","mental or behavioral dysfunction"
"personality disorders","0.144","mental or behavioral dysfunction"
"panic disorder","0.137","disease or syndrome - mental or behavioral dysfunction"
"allergy severity - severe","0.137","finding"
"hypersensitivity","0.124","clinical attribute - finding - pathologic function"
"diastasis","0.124","pathologic function"
"physical assessment findings","0.124","finding"
"anti-anxiety agents","0.124","pharmacologic substance"
"cognitive therapy","0.124","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"separation anxiety disorder","0.124","mental or behavioral dysfunction"
"unipolar depression","0.124","mental or behavioral dysfunction"
"fluoxetine","0.118","organic chemical - pharmacologic substance"
"benzodiazepines","0.111","organic chemical - pharmacologic substance"
"developmental disabilities","0.111","mental or behavioral dysfunction"
"stress disorders traumatic","0.111","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.111","organic chemical - pharmacologic substance"
"pregnancy tests","0.105","diagnostic procedure"
"pharmaceutical preparations","0.105","pharmacologic substance"
"eating disorders","0.098","mental or behavioral dysfunction"
"major depressive disorder","0.098","mental or behavioral dysfunction"
"substance dependence","0.098","mental or behavioral dysfunction"
"pervasive development disorder","0.098","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"behavior therapy","0.098","therapeutic or preventive procedure"
"electrocardiogram","0.092","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"schizoaffective disorder","0.092","mental or behavioral dysfunction"
"suicidality","0.085","clinical attribute"
"nicotine","0.085","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"antipsychotic agents","0.085","pharmacologic substance"
"negative finding","0.085","finding"
"psychiatric problem","0.085","mental or behavioral dysfunction"
"suicide attempt","0.085","finding - mental or behavioral dysfunction"
"social disorder","0.078","finding"
"hypertensive disease","0.078","biologically active substance - disease or syndrome - finding"
"dysthymic disorder","0.078","mental or behavioral dysfunction"
"screening for cancer","0.078","diagnostic procedure"
"adrenergic beta-antagonists","0.078","pharmacologic substance"
"skills","0.072","individual behavior"
"attention deficit hyperactivity disorder","0.072","disease or syndrome - mental or behavioral dysfunction"
"compulsive disorder","0.072","finding"
"craniocerebral trauma","0.065","injury or poisoning"
"medical history","0.065","finding"
"monoamine oxidase inhibitors","0.065","organic chemical - pharmacologic substance"
"selective serotonin re-uptake inhibitor","0.065","pharmacologic substance"
"impaired cognition","0.065","finding - mental or behavioral dysfunction"
"positive finding","0.059","finding"
"suicide risk","0.059","finding"
"serum","0.059","biologically active substance - body substance - pharmacologic substance"
"fmri","0.059","diagnostic procedure"
"tropical spastic paraparesis","0.059","disease or syndrome - therapeutic or preventive procedure"
"relate - vinyl resin","0.059","organic chemical"
"autistic disorder","0.059","mental or behavioral dysfunction"
"claustrophobia","0.059","mental or behavioral dysfunction"
"cognition disorders","0.059","mental or behavioral dysfunction"
"nervous system disorder","0.059","disease or syndrome"
"alcoholic intoxication chronic","0.059","mental or behavioral dysfunction"
"disability","0.052","finding"
"homicidal","0.052","mental or behavioral dysfunction"
"congenital abnormality","0.052","congenital abnormality - disease or syndrome"
"diagnosis psychiatric","0.052","mental or behavioral dysfunction"
"pharmacotherapy","0.052","therapeutic or preventive procedure"
"alcohol abuse","0.052","mental or behavioral dysfunction"
"magnetic resonance imaging","0.052","diagnostic procedure"
"mood disorders","0.052","mental or behavioral dysfunction"
"therapeutic brand of coal tar","0.052","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"multiple endocrine neoplasia","0.052","antibiotic - neoplastic process - organic chemical"
"injury wounds","0.052","body substance - injury or poisoning"
"severe combined immunodeficiency","0.046","diagnostic procedure - disease or syndrome"
"caffeine","0.046","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"febrile convulsions","0.046","disease or syndrome - pharmacologic substance"
"osteochondritis dissecans","0.046","disease or syndrome - mental or behavioral dysfunction"
"opiates","0.046","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"substance use disorders","0.046","mental or behavioral dysfunction"
"marihuana","0.046","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"mental suffering","0.046","mental or behavioral dysfunction"
"body parts - dental","0.046","body part, organ, or organ component"
"diabetes","0.046","disease or syndrome"
"delirium dementia amnestic cognitive disorders","0.046","mental or behavioral dysfunction"
"kidney","0.046","body part, organ, or organ component"
"body mass index","0.039","clinical attribute - diagnostic procedure"
"operative surgical procedures","0.039","diagnostic procedure - therapeutic or preventive procedure"
"consciousness related finding","0.039","finding"
"fever","0.039","finding"
"instability","0.039","finding"
"blood vessel","0.039","body part, organ, or organ component - finding"
"delusional disorder","0.039","mental or behavioral dysfunction"
"body dysmorphic disorders","0.039","mental or behavioral dysfunction"
"organic brain syndrome","0.039","disease or syndrome"
"unconscious state","0.039","disease or syndrome - finding"
"anxiety symptoms","0.039","finding"
"malignant neoplasms","0.039","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"neoplasm metastasis","0.039","neoplastic process"
"tic disorder","0.039","mental or behavioral dysfunction"
"blood pressure finding","0.039","finding"
"contraceptives oral","0.039","pharmacologic substance - therapeutic or preventive procedure"
"drug abuse","0.039","mental or behavioral dysfunction"
"encephalopathies","0.039","disease or syndrome - finding"
"lung","0.039","body part, organ, or organ component - disease or syndrome"
"bony process","0.033","body part, organ, or organ component"
"progesterone","0.033","pharmacologic substance"
"doxorubicin-fluorouracil-mitomycin-vincristine protocol","0.033","therapeutic or preventive procedure"
"cocaine","0.033","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
"benign rolandic epilepsy","0.033","disease or syndrome - therapeutic or preventive procedure"
"treatment-psychosocial effects","0.033","finding"
"barbiturates","0.033","injury or poisoning - organic chemical - pharmacologic substance"
"avoidant personality disorder","0.033","mental or behavioral dysfunction"
"diastole","0.033","clinical attribute"
"body excretions","0.033","body substance"
"fear of heights","0.033","mental or behavioral dysfunction"
"sexual intercourse - finding","0.033","finding"
"liver","0.033","body part, organ, or organ component - disease or syndrome - organic chemical - pharmacologic substance"
"severe depression","0.033","mental or behavioral dysfunction"
"psychotic symptoms","0.033","sign or symptom"
"communicable diseases","0.033","disease or syndrome"
"renal insufficiency","0.033","disease or syndrome"
"supportive care","0.033","therapeutic or preventive procedure"
"paroxetine","0.033","organic chemical - pharmacologic substance"
"antisocial behavior","0.033","mental or behavioral dysfunction"
