"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"active brand of pseudoephedrine-triprolidine","0.320","organic chemical - pharmacologic substance"
"malignant neoplasms","0.303","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"allergy severity - severe","0.299","finding"
"gravidity","0.295","finding"
"pharmacotherapy","0.212","therapeutic or preventive procedure"
"contraceptive methods","0.199","therapeutic or preventive procedure"
"pharmacologic substance","0.195","pharmacologic substance - therapeutic or preventive procedure"
"kidney","0.166","body part, organ, or organ component"
"pregnancy tests","0.141","diagnostic procedure"
"hypersensitivity","0.141","clinical attribute - finding - pathologic function"
"intravenous infusion procedures","0.137","therapeutic or preventive procedure"
"hepatic","0.133","body location or region"
"positive finding","0.133","finding"
"hypertensive disease","0.124","biologically active substance - disease or syndrome - finding"
"heart diseases","0.120","disease or syndrome"
"life expectancy","0.116","group attribute"
"therapeutic radiology procedure","0.112","body location or region - finding - neoplastic process - therapeutic or preventive procedure"
"bilirubin","0.112","biologically active substance - laboratory or test result - organic chemical"
"congenital abnormality","0.104","congenital abnormality - disease or syndrome"
"creatinine clearance","0.104","finding"
"pharmaceutical preparations","0.100","pharmacologic substance"
"electrocorticogram","0.100","diagnostic procedure"
"medical contraindication","0.095","finding"
"neoplasm metastasis","0.095","neoplastic process"
"myocardial infarction","0.091","disease or syndrome - finding"
"b-cell lymphomas","0.091","neoplastic process"
"skeletal bone","0.091","body location or region - body part, organ, or organ component - body substance - disease or syndrome"
"arteries","0.091","body part, organ, or organ component"
"platelets adverse event","0.091","finding"
"lung","0.091","body part, organ, or organ component - disease or syndrome"
"hemorrhage","0.083","pathologic function - therapeutic or preventive procedure"
"alanine transaminase","0.083","congenital abnormality - disease or syndrome - enzyme"
"finding of platelet count","0.079","laboratory or test result"
"psychotic disorders","0.079","mental or behavioral dysfunction"
"renal function","0.079","organ or tissue function"
"pregnancy test negative","0.079","finding - laboratory or test result"
"mental disorders","0.079","mental or behavioral dysfunction"
"congestive heart failure","0.079","congenital abnormality - disease or syndrome"
"ethanol","0.075","organic chemical - pharmacologic substance"
"operative surgical procedures","0.075","diagnostic procedure - therapeutic or preventive procedure"
"diffuse large b-cell lymphoma","0.075","neoplastic process"
"treatment protocols","0.071","therapeutic or preventive procedure"
"hiv negative finding","0.071","finding"
"liver function","0.071","organ or tissue function"
"aspartate transaminase","0.071","enzyme"
"investigational new drugs","0.071","pharmacologic substance - therapeutic or preventive procedure"
"epilepsy","0.066","disease or syndrome"
"marrow","0.066","body part, organ, or organ component"
"stomach","0.066","body part, organ, or organ component - disease or syndrome"
"esophageal diseases","0.062","disease or syndrome"
"blood pressure finding","0.062","finding"
"left ventricular ejection fraction","0.062","laboratory or test result"
"depressed mood","0.062","finding - mental or behavioral dysfunction"
"heart ventricle","0.062","body part, organ, or organ component"
"cardiac arrhythmia","0.062","finding - pathologic function"
"cerebrovascular accident","0.058","disease or syndrome - therapeutic or preventive procedure"
"transaminases","0.058","enzyme"
"injury wounds","0.058","body substance - injury or poisoning"
"nervousness","0.058","sign or symptom"
"body mass index","0.058","clinical attribute - diagnostic procedure"
"angina pectoris","0.058","sign or symptom"
"unstable status","0.058","finding"
"neurological observations","0.058","finding"
"mechanical ventilation","0.054","therapeutic or preventive procedure"
"substance abuse problem","0.054","mental or behavioral dysfunction"
"hepatitis c virus","0.054","virus"
"pathology processes","0.050","pathologic function"
"hemodynamics","0.050","organ or tissue function"
"basal cell carcinoma","0.050","neoplastic process"
"echocardiography","0.050","diagnostic procedure"
"follow-up status","0.050","finding"
"moderate adverse event","0.050","finding"
"mass of body structure","0.050","finding"
"malignant neoplasm of skin","0.050","neoplastic process"
"insulin","0.050","pharmacologic substance"
"transplantation","0.050","therapeutic or preventive procedure"
"breast carcinoma","0.050","neoplastic process"
"diastole","0.046","clinical attribute"
"relate - vinyl resin","0.046","organic chemical"
"melanoma","0.046","neoplastic process - pharmacologic substance"
"arteriopathic disease","0.046","disease or syndrome"
"hiv seropositivity","0.046","finding"
"multiple endocrine neoplasia","0.046","antibiotic - neoplastic process - organic chemical"
"hemodynamic instability","0.046","disease or syndrome"
"electrocardiogram","0.046","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"cervix uteri","0.046","body part, organ, or organ component - body substance - disease or syndrome"
"ecog performance status","0.041","clinical attribute"
"physical assessment findings","0.041","finding"
"neck","0.041","body location or region"
"psychiatric problem","0.041","mental or behavioral dysfunction"
"diastolic blood pressure","0.041","clinical attribute - diagnostic procedure - finding"
"schizophrenia","0.041","mental or behavioral dysfunction"
"hepatitis b virus","0.041","disease or syndrome - virus"
"myocardial ischemia","0.041","disease or syndrome"
"carcinoma in situ","0.041","biologically active substance - neoplastic process"
"liver diseases","0.041","disease or syndrome"
"cytotoxic chemotherapy","0.041","therapeutic or preventive procedure"
"skin carcinoma","0.041","neoplastic process"
"disease of diaphragm","0.041","body part, organ, or organ component - disease or syndrome"
"serum creatinine level","0.041","laboratory or test result"
"suicidal","0.037","finding"
"infiltration","0.037","pathologic function"
"mediastinum","0.037","body location or region - neoplastic process"
"systolic pressure","0.037","clinical attribute - diagnostic procedure"
"hemoglobin","0.037","biologically active substance - finding"
"reticulosarcoma","0.037","neoplastic process"
"bleeding tendency","0.037","disease or syndrome - pathologic function"
"hepatitis active","0.037","finding"
"cervix carcinoma","0.037","neoplastic process"
"radionuclide ventriculogram scan","0.037","diagnostic procedure"
"varicosity","0.037","disease or syndrome"
"angina unstable","0.037","disease or syndrome"
"inspired fraction of oxygen","0.037","finding"
"combined modality therapy","0.037","therapeutic or preventive procedure"
"aggressive behavior","0.037","mental or behavioral dysfunction"
"heart atrium","0.037","body part, organ, or organ component"
"indolent non-hodgkin lymphoma","0.037","neoplastic process"
"chemotherapy regimen","0.037","therapeutic or preventive procedure"
"uterus","0.037","body part, organ, or organ component - disease or syndrome"
"follicle","0.037","body part, organ, or organ component"
"face","0.037","body location or region - disease or syndrome"
"anticoagulation therapy","0.037","therapeutic or preventive procedure"
"cardiovascular diseases","0.037","disease or syndrome"
"blood coagulation disorders","0.037","disease or syndrome - organ or tissue function - pathologic function"
"chronic disease","0.037","disease or syndrome"
"bipolar disorder","0.033","mental or behavioral dysfunction"
"lymph nodes","0.033","body part, organ, or organ component"
"tissue growth","0.033","organ or tissue function"
"aspirin","0.033","organic chemical - pharmacologic substance"
"veins","0.033","body part, organ, or organ component"
"spermatocidal agents","0.033","pharmacologic substance"
"anticoagulants","0.033","pharmacologic substance"
"surgical and medical procedures","0.033","diagnostic procedure - therapeutic or preventive procedure"
"observation of attack","0.033","finding"
"mercury","0.033","hazardous or poisonous substance"
"measurable disease","0.033","disease or syndrome"
"therapeutic procedure","0.033","enzyme - finding - therapeutic or preventive procedure"
"chronic obstructive airway disease","0.033","disease or syndrome"
"brain injuries","0.033","injury or poisoning"
"lymphoma non-hodgkin","0.033","neoplastic process"
"adverse event associated with death","0.033","finding"
"acute respiratory failure","0.033","disease or syndrome"
"anatomic node","0.033","body part, organ, or organ component"
"diabetes mellitus insulin-dependent","0.033","disease or syndrome"
