"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"attention deficit hyperactivity disorder","0.455","disease or syndrome - mental or behavioral dysfunction"
"intravenous infusion procedures","0.447","therapeutic or preventive procedure"
"autistic disorder","0.367","mental or behavioral dysfunction"
"psychotic disorders","0.311","mental or behavioral dysfunction"
"pharmacologic substance","0.269","pharmacologic substance - therapeutic or preventive procedure"
"epilepsy","0.245","disease or syndrome"
"pervasive development disorder","0.245","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"allergy severity - severe","0.232","finding"
"mental disorders","0.224","mental or behavioral dysfunction"
"bipolar disorder","0.223","mental or behavioral dysfunction"
"developmental disabilities","0.206","mental or behavioral dysfunction"
"gravidity","0.194","finding"
"hypersensitivity","0.189","clinical attribute - finding - pathologic function"
"schizophrenia","0.164","mental or behavioral dysfunction"
"autism spectrum disorders","0.161","congenital abnormality - mental or behavioral dysfunction"
"psychotropic drugs","0.157","pharmacologic substance"
"anxiety disorders","0.152","finding - mental or behavioral dysfunction"
"mental retardation","0.149","mental or behavioral dysfunction"
"substance abuse problem","0.148","mental or behavioral dysfunction"
"physical assessment findings","0.139","finding"
"ethanol","0.134","organic chemical - pharmacologic substance"
"contraceptive methods","0.134","therapeutic or preventive procedure"
"depressed mood","0.133","finding - mental or behavioral dysfunction"
"tic disorder","0.131","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.131","organic chemical - pharmacologic substance"
"pharmaceutical preparations","0.131","pharmacologic substance"
"suicidal","0.120","finding"
"unstable status","0.118","finding"
"congenital abnormality","0.117","congenital abnormality - disease or syndrome"
"pregnancy tests","0.112","diagnostic procedure"
"stimulant","0.109","pharmacologic substance"
"kidney","0.108","body part, organ, or organ component"
"positive finding","0.108","finding"
"hyperactive behavior","0.105","finding"
"hypertensive disease","0.102","biologically active substance - disease or syndrome - finding"
"antipsychotic agents","0.102","pharmacologic substance"
"nervous system disorder","0.099","disease or syndrome"
"electrocardiogram","0.096","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"disability","0.089","finding"
"fever","0.089","finding"
"negative finding","0.088","finding"
"obsessive-compulsive disorder","0.084","disease or syndrome - mental or behavioral dysfunction"
"blood pressure finding","0.080","finding"
"nitric oxide synthase","0.080","enzyme"
"conduct disorder","0.079","mental or behavioral dysfunction"
"gene therapy","0.076","therapeutic or preventive procedure"
"mood disorders","0.075","mental or behavioral dysfunction"
"febrile convulsions","0.073","disease or syndrome - pharmacologic substance"
"moderate adverse event","0.073","finding"
"hepatic","0.070","body location or region"
"family history","0.070","congenital abnormality - disease or syndrome - enzyme - finding"
"methylphenidate","0.068","organic chemical - pharmacologic substance"
"craniocerebral trauma","0.066","injury or poisoning"
"screening for cancer","0.065","diagnostic procedure"
"attention deficit disorder","0.062","disease or syndrome - mental or behavioral dysfunction"
"nervousness","0.061","sign or symptom"
"neurological observations","0.061","finding"
"unipolar depression","0.060","mental or behavioral dysfunction"
"injury wounds","0.058","body substance - injury or poisoning"
"diagnosis psychiatric","0.057","mental or behavioral dysfunction"
"observation - diagnostic procedure","0.057","diagnostic procedure"
"major depressive disorder","0.056","mental or behavioral dysfunction"
"serum","0.053","biologically active substance - body substance - pharmacologic substance"
"atomoxetine","0.053","organic chemical - pharmacologic substance"
"nicotine","0.053","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"antidepressive agents","0.052","pharmacologic substance"
"brain injuries","0.052","injury or poisoning"
"anticonvulsants","0.052","pharmacologic substance"
"post-traumatic stress disorder","0.052","mental or behavioral dysfunction"
"malignant neoplasms","0.050","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
