"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"ethanol","0.443","organic chemical - pharmacologic substance"
"gravidity","0.443","finding"
"pharmacologic substance","0.418","pharmacologic substance - therapeutic or preventive procedure"
"contraceptive methods","0.354","therapeutic or preventive procedure"
"intravenous infusion procedures","0.304","therapeutic or preventive procedure"
"opioids","0.278","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"allergy severity - severe","0.266","finding"
"hypersensitivity","0.253","clinical attribute - finding - pathologic function"
"mental disorders","0.241","mental or behavioral dysfunction"
"pharmaceutical preparations","0.241","pharmacologic substance"
"benzodiazepines","0.228","organic chemical - pharmacologic substance"
"positive finding","0.215","finding"
"congenital abnormality","0.215","congenital abnormality - disease or syndrome"
"unstable status","0.215","finding"
"depressed mood","0.203","finding - mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.203","organic chemical - pharmacologic substance"
"physical assessment findings","0.190","finding"
"schizophrenia","0.190","mental or behavioral dysfunction"
"opiates","0.165","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"methadone","0.165","organic chemical - pharmacologic substance"
"blood pressure finding","0.165","finding"
"screening for cancer","0.165","diagnostic procedure"
"psychotic disorders","0.152","mental or behavioral dysfunction"
"epilepsy","0.152","disease or syndrome"
"hypertensive disease","0.139","biologically active substance - disease or syndrome - finding"
"liver diseases","0.139","disease or syndrome"
"antipsychotic agents","0.139","pharmacologic substance"
"negative finding","0.139","finding"
"psychotropic drugs","0.139","pharmacologic substance"
"spermatocidal agents","0.127","pharmacologic substance"
"marihuana","0.127","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"investigational new drugs","0.127","pharmacologic substance - therapeutic or preventive procedure"
"myocardial infarction","0.114","disease or syndrome - finding"
"systolic pressure","0.114","clinical attribute - diagnostic procedure"
"opiate addiction","0.114","mental or behavioral dysfunction"
"counter brand of terbufos","0.114","hazardous or poisonous substance"
"substance abuse problem","0.114","mental or behavioral dysfunction"
"alanine transaminase","0.114","congenital abnormality - disease or syndrome - enzyme"
"cardiac arrhythmia","0.114","finding - pathologic function"
"contraceptives oral","0.114","pharmacologic substance - therapeutic or preventive procedure"
"liver function","0.114","organ or tissue function"
"disease of diaphragm","0.114","body part, organ, or organ component - disease or syndrome"
"operative surgical procedures","0.101","diagnostic procedure - therapeutic or preventive procedure"
"pregnancy tests","0.101","diagnostic procedure"
"detoxification procedure","0.101","therapeutic or preventive procedure"
"caffeine","0.101","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"breast","0.101","body part, organ, or organ component"
"craniocerebral trauma","0.101","injury or poisoning"
"injury wounds","0.101","body substance - injury or poisoning"
"diastole","0.101","clinical attribute"
"unipolar depression","0.101","mental or behavioral dysfunction"
"heart rate","0.101","clinical attribute"
"suicidal","0.089","finding"
"nicotine dependence","0.089","mental or behavioral dysfunction"
"bipolar disorder","0.089","mental or behavioral dysfunction"
"substance dependence","0.089","mental or behavioral dysfunction"
"clonidine","0.089","organic chemical - pharmacologic substance"
"aspartate transaminase","0.089","enzyme"
"alcoholic intoxication chronic","0.089","mental or behavioral dysfunction"
"bilateral prophylactic mastectomy","0.089","organic chemical - therapeutic or preventive procedure"
"illicit drugs","0.089","hazardous or poisonous substance - pharmacologic substance"
"cerebrovascular accident","0.089","disease or syndrome - therapeutic or preventive procedure"
"tobacco","0.089","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"cardiovascular diseases","0.089","disease or syndrome"
"buprenorphine","0.089","organic chemical - pharmacologic substance"
"hypotension","0.089","finding - pathologic function"
"respiratory air","0.089","body substance"
"heart block","0.089","disease or syndrome"
"implantation procedure","0.089","therapeutic or preventive procedure"
"anxiety disorders","0.089","finding - mental or behavioral dysfunction"
"heart diseases","0.089","disease or syndrome"
"kidney diseases","0.076","disease or syndrome"
"body mass index","0.076","clinical attribute - diagnostic procedure"
"personal satisfaction","0.076","finding"
"drugs non-prescription","0.076","pharmacologic substance - therapeutic or preventive procedure"
"alcohol withdrawal syndrome","0.076","disease or syndrome"
"consciousness related finding","0.076","finding"
"unconscious state","0.076","disease or syndrome - finding"
"malignant neoplasms","0.076","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"systolic blood pressure measurement","0.076","clinical attribute - diagnostic procedure"
"creatinine clearance","0.076","finding"
"chronic obstructive airway disease","0.076","disease or syndrome"
"medical history","0.076","finding"
"prior therapy","0.076","clinical attribute"
"smoker","0.076","finding"
"asthma","0.076","disease or syndrome"
"vitamin d-binding protein","0.076","biologically active substance - diagnostic procedure"
"stimulant","0.076","pharmacologic substance"
"neonatal abstinence syndrome","0.063","disease or syndrome"
"encephalopathies","0.063","disease or syndrome - finding"
"angina pectoris","0.063","sign or symptom"
"consumption-archaic term for tb","0.063","disease or syndrome"
"serum","0.063","biologically active substance - body substance - pharmacologic substance"
"sterility","0.063","pathologic function"
"diastolic blood pressure","0.063","clinical attribute - diagnostic procedure - finding"
"renal impairment","0.063","disease or syndrome - finding"
"bleomycin-cisplatin protocol","0.063","therapeutic or preventive procedure"
"mercury","0.063","hazardous or poisonous substance"
"vagina","0.063","body part, organ, or organ component - disease or syndrome"
"substance withdrawal syndrome","0.063","mental or behavioral dysfunction"
"immunodeficiency virus","0.063","virus"
"immunologic deficiency syndromes","0.063","disease or syndrome"
"dementia","0.063","mental or behavioral dysfunction"
"physical disorders","0.063","disease or syndrome"
"levonorgestrel","0.063","pharmacologic substance"
"tricyclic antidepressive agents","0.063","pharmacologic substance"
"lung diseases obstructive","0.063","disease or syndrome"
"dermatologic disorders","0.063","disease or syndrome"
"adrenergic beta-antagonists","0.063","pharmacologic substance"
"mass of body structure","0.063","finding"
"congestive heart failure","0.063","congenital abnormality - disease or syndrome"
"multiple sclerosis","0.063","body part, organ, or organ component - disease or syndrome - finding"
"claustrophobia","0.063","mental or behavioral dysfunction"
"hepatitis c virus","0.063","virus"
"chronic pain","0.051","disease or syndrome"
"amylases","0.051","enzyme - finding - pharmacologic substance"
"anti-anxiety agents","0.051","pharmacologic substance"
"cessation of smoking","0.051","finding - individual behavior"
"barbiturates","0.051","injury or poisoning - organic chemical - pharmacologic substance"
"bradycardia","0.051","pathologic function"
"pain management","0.051","therapeutic or preventive procedure"
"arteries","0.051","body part, organ, or organ component"
"alcohol abuse","0.051","mental or behavioral dysfunction"
"carbon monoxide","0.051","hazardous or poisonous substance - inorganic chemical"
"treatment and maintenance","0.051","therapeutic or preventive procedure"
"heroin","0.051","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"antihypertensive agents","0.051","pathologic function - pharmacologic substance"
"cannabis dependence","0.051","mental or behavioral dysfunction"
"gastrointestinal hemorrhage","0.051","pathologic function"
"gene therapy","0.051","therapeutic or preventive procedure"
"medroxyprogesterone acetate","0.051","antibiotic - disease or syndrome - pharmacologic substance"
"oral contraception","0.051","pharmacologic substance - therapeutic or preventive procedure"
"diagnosis psychiatric","0.051","mental or behavioral dysfunction"
"imaging techniques","0.051","diagnostic procedure"
"nicotine replacement","0.051","therapeutic or preventive procedure"
"angina unstable","0.051","disease or syndrome"
"hepatitis b antigen peptide","0.051","pharmacologic substance"
"drug dependence","0.051","mental or behavioral dysfunction"
"heart ventricle","0.051","body part, organ, or organ component"
"tetrahydrocannabinol","0.051","organic chemical - pharmacologic substance"
"breath tests","0.051","diagnostic procedure"
"moderate adverse event","0.051","finding"
"general health","0.051","finding"
"opioid withdrawal","0.051","mental or behavioral dysfunction"
"alcohol consumption","0.051","individual behavior"
"traumatic brain injury","0.051","disease or syndrome - injury or poisoning"
"analgesics opioid","0.051","organic chemical - pharmacologic substance"
"electrocardiogram abnormal","0.051","finding"
"acetaminophen","0.051","organic chemical - pharmacologic substance"
"renal function","0.051","organ or tissue function"
"asymptomatic","0.038","finding"
"ulcer","0.038","finding - pathologic function"
"tissue growth","0.038","organ or tissue function"
"liver failure","0.038","disease or syndrome"
"hepatitis b surface antigens","0.038","pharmacologic substance"
"alagille syndrome","0.038","congenital abnormality - disease or syndrome"
"phosphatidylinositols","0.038","biologically active substance"
"sitting position","0.038","finding"
"psychoactive substances","0.038","hazardous or poisonous substance - pharmacologic substance"
"morphine","0.038","organic chemical - pharmacologic substance"
"general anesthesia","0.038","enzyme - pharmacologic substance - therapeutic or preventive procedure"
"magnetic resonance imaging","0.038","diagnostic procedure"
"kidney failure","0.038","disease or syndrome - finding"
"blood vessel","0.038","body part, organ, or organ component - finding"
"qtc interval","0.038","clinical attribute"
"dnmt3b protein human","0.038","enzyme"
"replacement therapy","0.038","therapeutic or preventive procedure"
"glucose","0.038","biologically active substance - pharmacologic substance"
"analgesia","0.038","sign or symptom - therapeutic or preventive procedure"
"adverse reactions","0.038","antibiotic - biologically active substance - disease or syndrome - finding - organic chemical - pathologic function - pharmacologic substance - receptor"
"physical dependence","0.038","mental or behavioral dysfunction"
"current therapy","0.038","therapeutic or preventive procedure"
"qt interval prolonged","0.038","finding"
"hand skill relative","0.038","disease or syndrome"
"fracture","0.038","finding - injury or poisoning"
"cocaine dependence","0.038","mental or behavioral dysfunction"
"panic disorder","0.038","disease or syndrome - mental or behavioral dysfunction"
"depression bipolar","0.038","mental or behavioral dysfunction"
"ulcerative colitis","0.038","disease or syndrome"
"metabolite","0.038","biologically active substance"
"fetal growth retardation","0.038","pathologic function"
"abnormal result","0.038","finding"
"hiv seropositivity","0.038","finding"
"hypoglycemia","0.038","disease or syndrome"
"sexual sterilization","0.038","finding - therapeutic or preventive procedure"
"hypnotics and sedatives","0.038","pharmacologic substance"
"contraception barrier","0.038","therapeutic or preventive procedure"
"hepatic impairment","0.038","disease or syndrome"
"acute hepatitis","0.038","disease or syndrome"
"blood loss","0.038","clinical attribute - finding - pathologic function"
"transaminases","0.038","enzyme"
"phosphoric monoester hydrolases","0.038","enzyme"
"smoke","0.038","hazardous or poisonous substance - individual behavior"
"psychotic symptoms","0.038","sign or symptom"
"fmri","0.038","diagnostic procedure"
"plasma","0.038","body substance"
"partial response","0.038","finding - receptor"
"anticonvulsants","0.038","pharmacologic substance"
"observation of attack","0.038","finding"
"alkaline phosphatase","0.038","enzyme - finding - therapeutic or preventive procedure"
"vaginal spermicides","0.038","pharmacologic substance"
